Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=138.SPF.Q.U2.ASSU.IR.P12M.Q.AVG
,SPF.Q.U2.ASSU.IR.P12M.Q.AVG
,Euro area (changing composition) - Assumptions - Interest rate - Target period ends 12 months after survey cycle begins - Quarterly survey
Collection:,Average of observations through period (A)
Period\Unit:,[Percent per annum ]
,,obs. status
2024Q1,3.97,Forecast value (F)
2023Q4,3.54,Forecast value (F)
2023Q3,2.85,Forecast value (F)
2023Q2,1.50,Forecast value (F)
2023Q1,0.33,Forecast value (F)
2022Q4,0.00,Forecast value (F)
2022Q3,0.00,Forecast value (F)
2022Q2,0.00,Forecast value (F)
2022Q1,0.00,Forecast value (F)
2021Q4,0.00,Forecast value (F)
2021Q3,-0.03,Forecast value (F)
2021Q2,-0.08,Forecast value (F)
2021Q1,-0.09,Forecast value (F)
2020Q4,-0.02,Forecast value (F)
2020Q3,0.01,Forecast value (F)
2020Q2,0.00,Forecast value (F)
2020Q1,0.02,Forecast value (F)
2019Q4,0.09,Forecast value (F)
2019Q3,0.07,Forecast value (F)
2019Q2,0.02,Forecast value (F)
2019Q1,0.03,Forecast value (F)
2018Q4,0.02,Forecast value (F)
2018Q3,0.03,Forecast value (F)
2018Q2,0.02,Forecast value (F)
2018Q1,0.01,Forecast value (F)
2017Q4,0.02,Forecast value (F)
2017Q3,-0.00,Forecast value (F)
2017Q2,-0.01,Forecast value (F)
2017Q1,0.00,Forecast value (F)
2016Q4,0.05,Forecast value (F)
2016Q3,0.05,Forecast value (F)
2016Q2,0.06,Forecast value (F)
2016Q1,0.06,Forecast value (F)
2015Q4,0.06,Forecast value (F)
2015Q3,0.06,Forecast value (F)
2015Q2,0.15,Forecast value (F)
2015Q1,0.23,Forecast value (F)
2014Q4,0.28,Forecast value (F)
2014Q3,0.48,Forecast value (F)
2014Q2,0.45,Forecast value (F)
2014Q1,0.68,Forecast value (F)
2013Q4,0.68,Forecast value (F)
2013Q3,0.61,Forecast value (F)
2013Q2,0.69,Forecast value (F)
2013Q1,0.94,Forecast value (F)
2012Q4,0.87,Forecast value (F)
2012Q3,1.26,Forecast value (F)
2012Q2,2.06,Forecast value (F)
2012Q1,1.93,Forecast value (F)
2011Q4,1.21,Forecast value (F)
2011Q3,1.10,Forecast value (F)
2011Q2,1.13,Forecast value (F)
2011Q1,1.28,Forecast value (F)
2010Q4,1.29,Forecast value (F)
2010Q3,1.19,Forecast value (F)
2010Q2,1.11,Forecast value (F)
2010Q1,0.96,Forecast value (F)
2009Q4,1.21,Forecast value (F)
2009Q3,2.79,Forecast value (F)
2009Q2,4.12,Forecast value (F)
2009Q1,3.53,Forecast value (F)
2008Q4,3.87,Forecast value (F)
2008Q3,4.05,Forecast value (F)
2008Q2,4.43,Forecast value (F)
2008Q1,4.11,Forecast value (F)
2007Q4,3.87,Forecast value (F)
2007Q3,3.63,Forecast value (F)
2007Q2,3.50,Forecast value (F)
2007Q1,3.14,Forecast value (F)
2006Q4,2.75,Forecast value (F)
2006Q3,2.26,Forecast value (F)
2006Q2,2.12,Forecast value (F)
2006Q1,2.37,Forecast value (F)
2005Q4,2.27,Forecast value (F)
2005Q3,2.43,Forecast value (F)
2005Q2,2.41,Forecast value (F)
2005Q1,2.13,Forecast value (F)
2004Q4,2.15,Forecast value (F)
2004Q3,2.07,Forecast value (F)
2004Q2,1.77,Forecast value (F)
2004Q1,2.32,Forecast value (F)
2003Q4,2.63,Forecast value (F)
2003Q3,3.23,Forecast value (F)
2003Q2,3.79,Forecast value (F)
2003Q1,3.84,Forecast value (F)
2002Q4,3.36,Forecast value (F)
