Data Source in SDW: null
,SPF.Q.U2.ASSU.IR.P6M.Q.AVG
,Euro area (changing composition) - Assumptions - Interest rate - Target period ends 6 months after survey cycle begins - Quarterly survey
Collection:,Average of observations through period (A)
Period\Unit:,[Percent per annum ]
,,obs. status
2023Q3,4.01,Forecast value (F)
2023Q2,3.46,Forecast value (F)
2023Q1,2.58,Forecast value (F)
2022Q4,0.95,Forecast value (F)
2022Q3,0.04,Forecast value (F)
2022Q2,0.00,Forecast value (F)
2022Q1,0.00,Forecast value (F)
2021Q4,0.00,Forecast value (F)
2021Q3,0.00,Forecast value (F)
2021Q2,0.00,Forecast value (F)
2021Q1,-0.03,Forecast value (F)
2020Q4,-0.08,Forecast value (F)
2020Q3,-0.09,Forecast value (F)
2020Q2,-0.02,Forecast value (F)
2020Q1,0.00,Forecast value (F)
2019Q4,0.00,Forecast value (F)
2019Q3,0.00,Forecast value (F)
2019Q2,0.00,Forecast value (F)
2019Q1,0.00,Forecast value (F)
2018Q4,0.00,Forecast value (F)
2018Q3,0.00,Forecast value (F)
2018Q2,0.00,Forecast value (F)
2018Q1,0.01,Forecast value (F)
2017Q4,0.01,Forecast value (F)
2017Q3,0.00,Forecast value (F)
2017Q2,0.00,Forecast value (F)
2017Q1,-0.00,Forecast value (F)
2016Q4,-0.01,Forecast value (F)
2016Q3,0.00,Forecast value (F)
2016Q2,0.05,Forecast value (F)
2016Q1,0.05,Forecast value (F)
2015Q4,0.05,Forecast value (F)
2015Q3,0.05,Forecast value (F)
2015Q2,0.06,Forecast value (F)
2015Q1,0.06,Forecast value (F)
2014Q4,0.15,Forecast value (F)
2014Q3,0.23,Forecast value (F)
2014Q2,0.25,Forecast value (F)
2014Q1,0.47,Forecast value (F)
2013Q4,0.44,Forecast value (F)
2013Q3,0.66,Forecast value (F)
2013Q2,0.66,Forecast value (F)
2013Q1,0.60,Forecast value (F)
2012Q4,0.68,Forecast value (F)
2012Q3,0.93,Forecast value (F)
2012Q2,0.86,Forecast value (F)
2012Q1,1.25,Forecast value (F)
2011Q4,1.71,Forecast value (F)
2011Q3,1.49,Forecast value (F)
2011Q2,1.03,Forecast value (F)
2011Q1,1.00,Forecast value (F)
2010Q4,1.01,Forecast value (F)
2010Q3,1.02,Forecast value (F)
2010Q2,1.01,Forecast value (F)
2010Q1,1.02,Forecast value (F)
2009Q4,0.99,Forecast value (F)
2009Q3,0.88,Forecast value (F)
2009Q2,1.29,Forecast value (F)
2009Q1,3.07,Forecast value (F)
2008Q4,4.29,Forecast value (F)
2008Q3,3.86,Forecast value (F)
2008Q2,3.97,Forecast value (F)
2008Q1,4.04,Forecast value (F)
2007Q4,4.33,Forecast value (F)
2007Q3,4.06,Forecast value (F)
2007Q2,3.81,Forecast value (F)
2007Q1,3.56,Forecast value (F)
2006Q4,3.33,Forecast value (F)
2006Q3,2.89,Forecast value (F)
2006Q2,2.58,Forecast value (F)
2006Q1,2.05,Forecast value (F)
2005Q4,1.98,Forecast value (F)
2005Q3,2.06,Forecast value (F)
2005Q2,2.03,Forecast value (F)
2005Q1,2.11,Forecast value (F)
2004Q4,2.09,Forecast value (F)
2004Q3,1.93,Forecast value (F)
2004Q2,1.98,Forecast value (F)
2004Q1,1.94,Forecast value (F)
2003Q4,1.73,Forecast value (F)
2003Q3,2.18,Forecast value (F)
2003Q2,2.53,Forecast value (F)
2003Q1,3.02,Forecast value (F)
2002Q4,3.45,Forecast value (F)
2002Q3,3.41,Forecast value (F)
2002Q2,3.08,Forecast value (F)
