Data Source in SDW: null
,IRS.M.FR.L.L40.CI.0000.EUR.N.Z
,"France, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector"
Collection:,Average of observations through period (A)
Period\Unit:,[Percent ]
,,obs. status
2023Apr,2.90,Normal value (A)
2023Mar,2.92,Normal value (A)
2023Feb,2.87,Normal value (A)
2023Jan,2.69,Normal value (A)
2022Dec,2.62,Normal value (A)
2022Nov,2.58,Normal value (A)
2022Oct,2.77,Normal value (A)
2022Sep,2.41,Normal value (A)
2022Aug,1.69,Normal value (A)
2022Jul,1.71,Normal value (A)
2022Jun,2.06,Normal value (A)
2022May,1.52,Normal value (A)
2022Apr,1.28,Normal value (A)
2022Mar,0.78,Normal value (A)
2022Feb,0.68,Normal value (A)
2022Jan,0.31,Normal value (A)
2021Dec,0.05,Normal value (A)
2021Nov,0.10,Normal value (A)
2021Oct,0.20,Normal value (A)
2021Sep,0.04,Normal value (A)
2021Aug,-0.12,Normal value (A)
2021Jul,-0.01,Normal value (A)
2021Jun,0.15,Normal value (A)
2021May,0.21,Normal value (A)
2021Apr,-0.01,Normal value (A)
2021Mar,-0.07,Normal value (A)
2021Feb,-0.15,Normal value (A)
2021Jan,-0.31,Normal value (A)
2020Dec,-0.34,Normal value (A)
2020Nov,-0.32,Normal value (A)
2020Oct,-0.30,Normal value (A)
2020Sep,-0.21,Normal value (A)
2020Aug,-0.17,Normal value (A)
2020Jul,-0.15,Normal value (A)
2020Jun,-0.04,Normal value (A)
2020May,-0.03,Normal value (A)
2020Apr,0.06,Normal value (A)
2020Mar,-0.05,Normal value (A)
2020Feb,-0.18,Normal value (A)
2020Jan,-0.01,Normal value (A)
2019Dec,0.04,Normal value (A)
2019Nov,-0.02,Normal value (A)
2019Oct,-0.16,Normal value (A)
2019Sep,-0.27,Normal value (A)
2019Aug,-0.34,Normal value (A)
2019Jul,-0.07,Normal value (A)
2019Jun,0.08,Normal value (A)
2019May,0.30,Normal value (A)
2019Apr,0.37,Normal value (A)
2019Mar,0.44,Normal value (A)
2019Feb,0.55,Normal value (A)
2019Jan,0.65,Normal value (A)
2018Dec,0.70,Normal value (A)
2018Nov,0.76,Normal value (A)
2018Oct,0.82,Normal value (A)
2018Sep,0.77,Normal value (A)
2018Aug,0.70,Normal value (A)
2018Jul,0.67,Normal value (A)
2018Jun,0.75,Normal value (A)
2018May,0.79,Normal value (A)
2018Apr,0.78,Normal value (A)
2018Mar,0.83,Normal value (A)
2018Feb,0.98,Normal value (A)
2018Jan,0.85,Normal value (A)
2017Dec,0.67,Normal value (A)
2017Nov,0.72,Normal value (A)
2017Oct,0.81,Normal value (A)
2017Sep,0.70,Normal value (A)
2017Aug,0.71,Normal value (A)
2017Jul,0.84,Normal value (A)
2017Jun,0.66,Normal value (A)
