Data Source in SDW: null
,IRS.M.IT.L.L40.CI.0000.EUR.N.Z
,"Italy, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector"
Collection:,Average of observations through period (A)
Period\Unit:,[Percent ]
,,obs. status
2023Apr,4.23,Normal value (A)
2023Mar,4.24,Normal value (A)
2023Feb,4.27,Normal value (A)
2023Jan,4.24,Normal value (A)
2022Dec,4.26,Normal value (A)
2022Nov,4.24,Normal value (A)
2022Oct,4.53,Normal value (A)
2022Sep,4.14,Normal value (A)
2022Aug,3.30,Normal value (A)
2022Jul,3.36,Normal value (A)
2022Jun,3.63,Normal value (A)
2022May,2.99,Normal value (A)
2022Apr,2.44,Normal value (A)
2022Mar,1.85,Normal value (A)
2022Feb,1.79,Normal value (A)
2022Jan,1.35,Normal value (A)
2021Dec,1.05,Normal value (A)
2021Nov,1.01,Normal value (A)
2021Oct,0.95,Normal value (A)
2021Sep,0.78,Normal value (A)
2021Aug,0.63,Normal value (A)
2021Jul,0.75,Normal value (A)
2021Jun,0.88,Normal value (A)
2021May,0.98,Normal value (A)
2021Apr,0.80,Normal value (A)
2021Mar,0.70,Normal value (A)
2021Feb,0.59,Normal value (A)
2021Jan,0.62,Normal value (A)
2020Dec,0.58,Normal value (A)
2020Nov,0.66,Normal value (A)
2020Oct,0.77,Normal value (A)
2020Sep,0.98,Normal value (A)
2020Aug,1.03,Normal value (A)
2020Jul,1.20,Normal value (A)
2020Jun,1.46,Normal value (A)
2020May,1.76,Normal value (A)
2020Apr,1.80,Normal value (A)
2020Mar,1.55,Normal value (A)
2020Feb,0.95,Normal value (A)
2020Jan,1.27,Normal value (A)
2019Dec,1.37,Normal value (A)
2019Nov,1.27,Normal value (A)
2019Oct,1.00,Normal value (A)
2019Sep,0.90,Normal value (A)
2019Aug,1.40,Normal value (A)
2019Jul,1.65,Normal value (A)
2019Jun,2.28,Normal value (A)
2019May,2.64,Normal value (A)
2019Apr,2.62,Normal value (A)
2019Mar,2.69,Normal value (A)
2019Feb,2.81,Normal value (A)
2019Jan,2.77,Normal value (A)
2018Dec,2.98,Normal value (A)
2018Nov,3.39,Normal value (A)
2018Oct,3.47,Normal value (A)
2018Sep,2.96,Normal value (A)
2018Aug,3.16,Normal value (A)
2018Jul,2.64,Normal value (A)
2018Jun,2.74,Normal value (A)
2018May,2.18,Normal value (A)
2018Apr,1.77,Normal value (A)
2018Mar,1.97,Normal value (A)
2018Feb,2.08,Normal value (A)
2018Jan,1.98,Normal value (A)
2017Dec,1.79,Normal value (A)
2017Nov,1.79,Normal value (A)
2017Oct,2.07,Normal value (A)
2017Sep,2.11,Normal value (A)
2017Aug,2.11,Normal value (A)
2017Jul,2.23,Normal value (A)
2017Jun,2.05,Normal value (A)
2017May,2.19,Normal value (A)
2017Apr,2.26,Normal value (A)
2017Mar,2.40,Normal value (A)
2017Feb,2.35,Normal value (A)
2017Jan,1.99,Normal value (A)
2016Dec,1.89,Normal value (A)
2016Nov,1.94,Normal value (A)
2016Oct,1.45,Normal value (A)
2016Sep,1.27,Normal value (A)
2016Aug,1.18,Normal value (A)
2016Jul,1.23,Normal value (A)
2016Jun,1.45,Normal value (A)
2016May,1.53,Normal value (A)
2016Apr,1.44,Normal value (A)
2016Mar,1.38,Normal value (A)
2016Feb,1.56,Normal value (A)
2016Jan,1.53,Normal value (A)
2015Dec,1.58,Normal value (A)
2015Nov,1.57,Normal value (A)
2015Oct,1.70,Normal value (A)
2015Sep,1.92,Normal value (A)
2015Aug,1.84,Normal value (A)
2015Jul,2.04,Normal value (A)
2015Jun,2.20,Normal value (A)
2015May,1.81,Normal value (A)
2015Apr,1.36,Normal value (A)
2015Mar,1.29,Normal value (A)
2015Feb,1.56,Normal value (A)
2015Jan,1.70,Normal value (A)
2014Dec,1.99,Normal value (A)
2014Nov,2.29,Normal value (A)
2014Oct,2.42,Normal value (A)
2014Sep,2.40,Normal value (A)
2014Aug,2.63,Normal value (A)
2014Jul,2.79,Normal value (A)
2014Jun,2.92,Normal value (A)
2014May,3.12,Normal value (A)
2014Apr,3.23,Normal value (A)
2014Mar,3.40,Normal value (A)
2014Feb,3.65,Normal value (A)
2014Jan,3.87,Normal value (A)
2013Dec,4.11,Normal value (A)
2013Nov,4.09,Normal value (A)
2013Oct,4.25,Normal value (A)
2013Sep,4.54,Normal value (A)
2013Aug,4.42,Normal value (A)
2013Jul,4.42,Normal value (A)
2013Jun,4.38,Normal value (A)
2013May,3.96,Normal value (A)
2013Apr,4.28,Normal value (A)
2013Mar,4.64,Normal value (A)
2013Feb,4.49,Normal value (A)
2013Jan,4.21,Normal value (A)
2012Dec,4.54,Normal value (A)
2012Nov,4.85,Normal value (A)
2012Oct,4.95,Normal value (A)
2012Sep,5.25,Normal value (A)
2012Aug,5.82,Normal value (A)
2012Jul,6.00,Normal value (A)
2012Jun,5.90,Normal value (A)
2012May,5.78,Normal value (A)
2012Apr,5.68,Normal value (A)
2012Mar,5.05,Normal value (A)
2012Feb,5.55,Normal value (A)
2012Jan,6.54,Normal value (A)
2011Dec,6.81,Normal value (A)
2011Nov,7.06,Normal value (A)
2011Oct,5.97,Normal value (A)
2011Sep,5.75,Normal value (A)
2011Aug,5.27,Normal value (A)
2011Jul,5.46,Normal value (A)
2011Jun,4.82,Normal value (A)
2011May,4.76,Normal value (A)
2011Apr,4.84,Normal value (A)
2011Mar,4.88,Normal value (A)
2011Feb,4.74,Normal value (A)
2011Jan,4.73,Normal value (A)
2010Dec,4.60,Normal value (A)
2010Nov,4.18,Normal value (A)
2010Oct,3.80,Normal value (A)
2010Sep,3.86,Normal value (A)
2010Aug,3.80,Normal value (A)
2010Jul,4.03,Normal value (A)
2010Jun,4.10,Normal value (A)
2010May,3.98,Normal value (A)
2010Apr,4.00,Normal value (A)
2010Mar,3.94,Normal value (A)
2010Feb,4.05,Normal value (A)
2010Jan,4.08,Normal value (A)
2009Dec,4.01,Normal value (A)
2009Nov,4.06,Normal value (A)
2009Oct,4.10,Normal value (A)
2009Sep,4.09,Normal value (A)
2009Aug,4.12,Normal value (A)
2009Jul,4.37,Normal value (A)
2009Jun,4.61,Normal value (A)
2009May,4.42,Normal value (A)
2009Apr,4.36,Normal value (A)
2009Mar,4.46,Normal value (A)
2009Feb,4.54,Normal value (A)
2009Jan,4.62,Normal value (A)
2008Dec,4.47,Normal value (A)
2008Nov,4.74,Normal value (A)
2008Oct,4.78,Normal value (A)
2008Sep,4.80,Normal value (A)
2008Aug,4.81,Normal value (A)
2008Jul,5.09,Normal value (A)
2008Jun,5.11,Normal value (A)
2008May,4.70,Normal value (A)
2008Apr,4.53,Normal value (A)
2008Mar,4.38,Normal value (A)
2008Feb,4.35,Normal value (A)
2008Jan,4.40,Normal value (A)
2007Dec,4.54,Normal value (A)
2007Nov,4.45,Normal value (A)
2007Oct,4.59,Normal value (A)
2007Sep,4.57,Normal value (A)
2007Aug,4.58,Normal value (A)
2007Jul,4.76,Normal value (A)
2007Jun,4.77,Normal value (A)
2007May,4.49,Normal value (A)
2007Apr,4.37,Normal value (A)
2007Mar,4.18,Normal value (A)
2007Feb,4.28,Normal value (A)
2007Jan,4.26,Normal value (A)
2006Dec,4.04,Normal value (A)
2006Nov,3.97,Normal value (A)
2006Oct,4.07,Normal value (A)
2006Sep,4.04,Normal value (A)
2006Aug,4.17,Normal value (A)
2006Jul,4.31,Normal value (A)
2006Jun,4.29,Normal value (A)
2006May,4.29,Normal value (A)
2006Apr,4.22,Normal value (A)
2006Mar,3.92,Normal value (A)
2006Feb,3.70,Normal value (A)
2006Jan,3.54,Normal value (A)
2005Dec,3.55,Normal value (A)
2005Nov,3.65,Normal value (A)
2005Oct,3.44,Normal value (A)
2005Sep,3.29,Normal value (A)
2005Aug,3.45,Normal value (A)
2005Jul,3.44,Normal value (A)
2005Jun,3.40,Normal value (A)
2005May,3.55,Normal value (A)
2005Apr,3.65,Normal value (A)
2005Mar,3.84,Normal value (A)
2005Feb,3.68,Normal value (A)
2005Jan,3.71,Normal value (A)
2004Dec,3.79,Normal value (A)
2004Nov,4.00,Normal value (A)
2004Oct,4.13,Normal value (A)
2004Sep,4.25,Normal value (A)
2004Aug,4.28,Normal value (A)
2004Jul,4.44,Normal value (A)
2004Jun,4.54,Normal value (A)
2004May,4.49,Normal value (A)
2004Apr,4.35,Normal value (A)
2004Mar,4.17,Normal value (A)
2004Feb,4.34,Normal value (A)
2004Jan,4.32,Normal value (A)
2003Dec,4.46,Normal value (A)
2003Nov,4.51,Normal value (A)
2003Oct,4.38,Normal value (A)
2003Sep,4.31,Normal value (A)
2003Aug,4.29,Normal value (A)
2003Jul,4.13,Normal value (A)
2003Jun,3.82,Normal value (A)
2003May,4.04,Normal value (A)
2003Apr,4.31,Normal value (A)
2003Mar,4.18,Normal value (A)
2003Feb,4.16,Normal value (A)
2003Jan,4.38,Normal value (A)
2002Dec,4.55,Normal value (A)
2002Nov,4.74,Normal value (A)
2002Oct,4.76,Normal value (A)
2002Sep,4.62,Normal value (A)
2002Aug,4.83,Normal value (A)
2002Jul,5.11,Normal value (A)
2002Jun,5.25,Normal value (A)
2002May,5.41,Normal value (A)
2002Apr,5.40,Normal value (A)
2002Mar,5.41,Normal value (A)
2002Feb,5.20,Normal value (A)
2002Jan,5.14,Normal value (A)
2001Dec,5.05,Normal value (A)
2001Nov,4.80,Normal value (A)
2001Oct,4.96,Normal value (A)
2001Sep,5.20,Normal value (A)
2001Aug,5.21,Normal value (A)
2001Jul,5.42,Normal value (A)
2001Jun,5.40,Normal value (A)
2001May,5.45,Normal value (A)
2001Apr,5.28,Normal value (A)
2001Mar,5.13,Normal value (A)
2001Feb,5.18,Normal value (A)
2001Jan,5.18,Normal value (A)
2000Dec,5.30,Normal value (A)
2000Nov,5.55,Normal value (A)
2000Oct,5.58,Normal value (A)
2000Sep,5.63,Normal value (A)
2000Aug,5.56,Normal value (A)
2000Jul,5.59,Normal value (A)
2000Jun,5.51,Normal value (A)
2000May,5.67,Normal value (A)
2000Apr,5.47,Normal value (A)
2000Mar,5.58,Normal value (A)
2000Feb,5.73,Normal value (A)
2000Jan,5.75,Normal value (A)
