DATAFLOW,LAST UPDATE,freq,int_rt,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1995-01,76.05000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1995-02,75.43000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1995-03,75.48000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1995-04,67.88000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1995-05,58.43000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1995-06,54.08000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1995-07,44.49000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1995-08,37.08000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1995-09,37.12000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1995-10,37.02000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1995-11,36.72000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1995-12,36.28000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1996-01,38.19000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1996-02,44.43000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1996-03,50.42000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1996-04,49.47000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1996-05,96.26000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1996-06,111.10000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1996-07,112.65000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1996-08,109.70000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1996-09,180.65000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1996-10,284.36000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1996-11,181.81000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1996-12,177.71000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1997-01,175.06000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1997-02,187.11000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1997-03,176.01000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1997-04,130.72000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1997-05,45.73000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1997-06,26.32000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1997-07,3.50000,
