Data Source in SDW: null
,SPF.A.U2.ASSU.IR.P36M.Q.AVG
,Euro area (changing composition) - Assumptions - Interest rate - Target period ends 36 months after survey cycle begins - Quarterly survey
Collection:,Average of observations through period (A)
Period\Unit:,[Percent per annum ]
,,obs. status
2025,2.85,Forecast value (F)
2024,0.33,Forecast value (F)
2023,0.04,Forecast value (F)
2022,0.08,Forecast value (F)
2021,0.74,Forecast value (F)
2020,0.65,Forecast value (F)
2019,0.09,Forecast value (F)
2018,0.41,Forecast value (F)
2017,0.43,Forecast value (F)
2016,0.94,Forecast value (F)
2015,1.19,Forecast value (F)
