Data Source in SDW: null
,ICP.M.FR.N.000000.4.ANR
,"France - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Percentage change ]
,,obs. status,obs. comment
2023Jul,5.0,Estimated value (E),
2023Jun,5.3,Normal value (A),
2023May,6.0,Normal value (A),
2023Apr,6.9,Normal value (A),
2023Mar,6.7,Normal value (A),
2023Feb,7.3,Normal value (A),
2023Jan,7.0,Normal value (A),
2022Dec,6.7,Normal value (A),
2022Nov,7.1,Normal value (A),
2022Oct,7.1,Normal value (A),
2022Sep,6.2,Normal value (A),
2022Aug,6.6,Normal value (A),
2022Jul,6.8,Normal value (A),
2022Jun,6.5,Normal value (A),
2022May,5.8,Normal value (A),
2022Apr,5.4,Normal value (A),
2022Mar,5.1,Normal value (A),
2022Feb,4.2,Normal value (A),
2022Jan,3.3,Normal value (A),
2021Dec,3.4,Normal value (A),
2021Nov,3.4,Normal value (A),
2021Oct,3.2,Normal value (A),
2021Sep,2.7,Normal value (A),
2021Aug,2.4,Normal value (A),
2021Jul,1.5,Normal value (A),
2021Jun,1.9,Normal value (A),
2021May,1.8,Normal value (A),
2021Apr,1.6,Normal value (A),
2021Mar,1.4,Normal value (A),
2021Feb,0.8,Normal value (A),
2021Jan,0.8,Normal value (A),
2020Dec,0.0,Normal value (A),
2020Nov,0.2,Normal value (A),
2020Oct,0.1,Normal value (A),
2020Sep,0.0,Normal value (A),
2020Aug,0.2,Normal value (A),
2020Jul,0.9,Normal value (A),
2020Jun,0.2,Normal value (A),
2020May,0.4,Normal value (A),
2020Apr,0.4,Normal value (A),
2020Mar,0.8,Normal value (A),
2020Feb,1.6,Normal value (A),
2020Jan,1.7,Normal value (A),
2019Dec,1.6,Normal value (A),
2019Nov,1.2,Normal value (A),
2019Oct,0.9,Normal value (A),
2019Sep,1.1,Normal value (A),
2019Aug,1.3,Normal value (A),
2019Jul,1.3,Normal value (A),
2019Jun,1.4,Normal value (A),
2019May,1.1,Normal value (A),
2019Apr,1.5,Normal value (A),
2019Mar,1.3,Normal value (A),
2019Feb,1.6,Normal value (A),
2019Jan,1.4,Normal value (A),
2018Dec,1.9,Normal value (A),
2018Nov,2.2,Normal value (A),
2018Oct,2.5,Normal value (A),
2018Sep,2.5,Normal value (A),
2018Aug,2.6,Normal value (A),
2018Jul,2.6,Normal value (A),
2018Jun,2.3,Normal value (A),
2018May,2.3,Normal value (A),
2018Apr,1.8,Normal value (A),
2018Mar,1.7,Normal value (A),
2018Feb,1.3,Normal value (A),
2018Jan,1.5,Normal value (A),
2017Dec,1.2,Normal value (A),
2017Nov,1.2,Normal value (A),
2017Oct,1.2,Normal value (A),
2017Sep,1.1,Normal value (A),
2017Aug,1.0,Normal value (A),
2017Jul,0.8,Normal value (A),
2017Jun,0.8,Normal value (A),
2017May,0.9,Normal value (A),
2017Apr,1.4,Normal value (A),
2017Mar,1.4,Normal value (A),
2017Feb,1.4,Normal value (A),
2017Jan,1.6,Normal value (A),
2016Dec,0.8,Normal value (A),
2016Nov,0.7,Normal value (A),
2016Oct,0.5,Normal value (A),
2016Sep,0.5,Normal value (A),
2016Aug,0.4,Normal value (A),
2016Jul,0.4,Normal value (A),
2016Jun,0.3,Normal value (A),
2016May,0.1,Normal value (A),
2016Apr,-0.1,Normal value (A),
2016Mar,-0.1,Normal value (A),
2016Feb,-0.1,Normal value (A),
2016Jan,0.3,Normal value (A),
2015Dec,0.3,Normal value (A),
2015Nov,0.1,Normal value (A),
2015Oct,0.2,Normal value (A),
2015Sep,0.1,Normal value (A),
2015Aug,0.1,Normal value (A),
2015Jul,0.2,Normal value (A),
2015Jun,0.3,Normal value (A),
2015May,0.3,Normal value (A),
2015Apr,0.1,Normal value (A),
2015Mar,0.0,Normal value (A),
2015Feb,-0.3,Normal value (A),
2015Jan,-0.4,Normal value (A),
2014Dec,0.1,Normal value (A),
2014Nov,0.4,Normal value (A),
2014Oct,0.5,Normal value (A),
2014Sep,0.4,Normal value (A),
2014Aug,0.5,Normal value (A),
2014Jul,0.6,Normal value (A),
2014Jun,0.6,Normal value (A),
2014May,0.8,Normal value (A),
2014Apr,0.8,Normal value (A),
2014Mar,0.8,Normal value (A),
2014Feb,1.1,Normal value (A),
2014Jan,0.8,Normal value (A),
2013Dec,0.8,Normal value (A),
2013Nov,0.8,Normal value (A),
2013Oct,0.7,Normal value (A),
2013Sep,1.0,Normal value (A),
2013Aug,1.0,Normal value (A),
2013Jul,1.2,Normal value (A),
2013Jun,1.0,Normal value (A),
2013May,0.9,Normal value (A),
2013Apr,0.8,Normal value (A),
2013Mar,1.1,Normal value (A),
2013Feb,1.2,Normal value (A),
2013Jan,1.4,Normal value (A),
2012Dec,1.5,Normal value (A),
2012Nov,1.6,Normal value (A),
2012Oct,2.1,Normal value (A),
2012Sep,2.2,Normal value (A),
2012Aug,2.4,Normal value (A),
2012Jul,2.2,Normal value (A),
2012Jun,2.3,Normal value (A),
2012May,2.3,Normal value (A),
2012Apr,2.4,Normal value (A),
2012Mar,2.6,Normal value (A),
2012Feb,2.5,Normal value (A),
2012Jan,2.6,Normal value (A),
2011Dec,2.7,Normal value (A),
2011Nov,2.7,Normal value (A),
2011Oct,2.5,Normal value (A),
2011Sep,2.4,Normal value (A),
2011Aug,2.4,Normal value (A),
2011Jul,2.1,Normal value (A),
2011Jun,2.3,Normal value (A),
2011May,2.2,Normal value (A),
2011Apr,2.2,Normal value (A),
2011Mar,2.2,Normal value (A),
2011Feb,1.8,Normal value (A),
2011Jan,2.0,Normal value (A),Implementation of HICP Regulation No. 33/2009 on the treatment of seasonal items in the HICP. See Box 3 in the April 2011 ECB Monthly Bulletin for details.
2010Dec,2.0,Normal value (A),
2010Nov,1.8,Normal value (A),
2010Oct,1.8,Normal value (A),
2010Sep,1.8,Normal value (A),
2010Aug,1.6,Normal value (A),
2010Jul,1.9,Normal value (A),
2010Jun,1.7,Normal value (A),
2010May,1.9,Normal value (A),
2010Apr,1.9,Normal value (A),
2010Mar,1.7,Normal value (A),
2010Feb,1.4,Normal value (A),
2010Jan,1.2,Normal value (A),
2009Dec,1.0,Normal value (A),
2009Nov,0.5,Normal value (A),
2009Oct,-0.2,Normal value (A),
2009Sep,-0.4,Normal value (A),
2009Aug,-0.2,Normal value (A),
2009Jul,-0.8,Normal value (A),
2009Jun,-0.6,Normal value (A),
2009May,-0.3,Normal value (A),
2009Apr,0.1,Normal value (A),
2009Mar,0.4,Normal value (A),
2009Feb,1.0,Normal value (A),
2009Jan,0.8,Normal value (A),
2008Dec,1.2,Normal value (A),
2008Nov,1.9,Normal value (A),
2008Oct,3.0,Normal value (A),
2008Sep,3.4,Normal value (A),
2008Aug,3.5,Normal value (A),
2008Jul,4.0,Normal value (A),
2008Jun,4.0,Normal value (A),
2008May,3.7,Normal value (A),
2008Apr,3.4,Normal value (A),
2008Mar,3.5,Normal value (A),
2008Feb,3.2,Normal value (A),
2008Jan,3.2,Normal value (A),
2007Dec,2.8,Normal value (A),
2007Nov,2.6,Normal value (A),
2007Oct,2.1,Normal value (A),
2007Sep,1.6,Normal value (A),
2007Aug,1.3,Normal value (A),
2007Jul,1.2,Normal value (A),
2007Jun,1.3,Normal value (A),
2007May,1.2,Normal value (A),
2007Apr,1.3,Normal value (A),
2007Mar,1.2,Normal value (A),
2007Feb,1.2,Normal value (A),
2007Jan,1.4,Normal value (A),
2006Dec,1.7,Normal value (A),
2006Nov,1.6,Normal value (A),
2006Oct,1.2,Normal value (A),
2006Sep,1.5,Normal value (A),
2006Aug,2.1,Normal value (A),
2006Jul,2.2,Normal value (A),
2006Jun,2.2,Normal value (A),
2006May,2.3,Normal value (A),
2006Apr,2.0,Normal value (A),
2006Mar,1.7,Normal value (A),
2006Feb,2.0,Normal value (A),
2006Jan,2.2,Normal value (A),
2005Dec,1.8,Normal value (A),
2005Nov,1.8,Normal value (A),
2005Oct,2.0,Normal value (A),
2005Sep,2.3,Normal value (A),
2005Aug,2.0,Normal value (A),
2005Jul,1.8,Normal value (A),
2005Jun,1.8,Normal value (A),
2005May,1.7,Normal value (A),
2005Apr,2.0,Normal value (A),
2005Mar,2.1,Normal value (A),
2005Feb,1.9,Normal value (A),
2005Jan,1.6,Normal value (A),
2004Dec,2.2,Normal value (A),
2004Nov,2.2,Normal value (A),
2004Oct,2.3,Normal value (A),
2004Sep,2.2,Normal value (A),
2004Aug,2.6,Normal value (A),
2004Jul,2.6,Normal value (A),
2004Jun,2.7,Normal value (A),
2004May,2.8,Normal value (A),
2004Apr,2.4,Normal value (A),
2004Mar,1.9,Normal value (A),
