Data Source in SDW: null
,MNA.Q.Y.FR.W2.S1.S1.B.B1GQ._Z._Z._Z.XDC.LR.G1
,"Gross domestic product at market prices - France - Domestic (home or reference area), Total economy, Domestic currency (incl. conversion to current currency made using a fix parity), Chain linked volume (rebased), Growth rate, period on period, Calendar and seasonally adjusted data"
Collection:,Summed through period (S)
Period\Unit:,[Domestic currency ]
,,obs. status
2023Q2,0.5,Normal value (A)
2023Q1,0.1,Normal value (A)
2022Q4,0.1,Normal value (A)
2022Q3,0.2,Normal value (A)
2022Q2,0.5,Normal value (A)
2022Q1,-0.1,Normal value (A)
2021Q4,0.5,Normal value (A)
2021Q3,2.9,Normal value (A)
2021Q2,1.0,Normal value (A)
2021Q1,0.1,Normal value (A)
2020Q4,-0.7,Normal value (A)
2020Q3,17.4,Normal value (A)
2020Q2,-13.1,Normal value (A)
2020Q1,-5.3,Normal value (A)
2019Q4,-0.4,Normal value (A)
2019Q3,0.1,Normal value (A)
2019Q2,0.7,Normal value (A)
2019Q1,0.7,Normal value (A)
2018Q4,0.5,Normal value (A)
2018Q3,0.4,Normal value (A)
2018Q2,0.5,Normal value (A)
2018Q1,0.0,Normal value (A)
2017Q4,0.6,Normal value (A)
2017Q3,0.9,Normal value (A)
2017Q2,0.9,Normal value (A)
2017Q1,0.6,Normal value (A)
2016Q4,0.6,Normal value (A)
2016Q3,0.4,Normal value (A)
2016Q2,-0.4,Normal value (A)
2016Q1,0.6,Normal value (A)
2015Q4,0.2,Normal value (A)
2015Q3,0.2,Normal value (A)
2015Q2,0.1,Normal value (A)
2015Q1,0.5,Normal value (A)
2014Q4,-0.1,Normal value (A)
2014Q3,0.6,Normal value (A)
2014Q2,0.1,Normal value (A)
2014Q1,-0.1,Normal value (A)
2013Q4,0.7,Normal value (A)
2013Q3,-0.1,Normal value (A)
2013Q2,0.7,Normal value (A)
2013Q1,0.0,Normal value (A)
2012Q4,-0.2,Normal value (A)
2012Q3,0.2,Normal value (A)
2012Q2,-0.1,Normal value (A)
2012Q1,-0.0,Normal value (A)
2011Q4,0.2,Normal value (A)
2011Q3,0.5,Normal value (A)
2011Q2,-0.1,Normal value (A)
2011Q1,1.1,Normal value (A)
2010Q4,0.6,Normal value (A)
2010Q3,0.6,Normal value (A)
2010Q2,0.5,Normal value (A)
2010Q1,0.3,Normal value (A)
2009Q4,0.8,Normal value (A)
2009Q3,0.1,Normal value (A)
2009Q2,0.0,Normal value (A)
2009Q1,-1.7,Normal value (A)
2008Q4,-1.5,Normal value (A)
2008Q3,-0.1,Normal value (A)
2008Q2,-0.6,Normal value (A)
2008Q1,0.5,Normal value (A)
2007Q4,0.2,Normal value (A)
2007Q3,0.5,Normal value (A)
2007Q2,0.7,Normal value (A)
2007Q1,0.8,Normal value (A)
2006Q4,0.6,Normal value (A)
2006Q3,0.2,Normal value (A)
2006Q2,1.0,Normal value (A)
