Data Source in SDW: null
,IRS.M.ES.L.L40.CI.0000.EUR.N.Z
,"Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector"
Collection:,Average of observations through period (A)
Period\Unit:,[Percent ]
,,obs. status
2023Jul,3.49,Normal value (A)
2023Jun,3.40,Normal value (A)
2023May,3.41,Normal value (A)
2023Apr,3.40,Normal value (A)
2023Mar,3.43,Normal value (A)
2023Feb,3.38,Normal value (A)
2023Jan,3.20,Normal value (A)
2022Dec,3.09,Normal value (A)
2022Nov,3.06,Normal value (A)
2022Oct,3.29,Normal value (A)
2022Sep,2.92,Normal value (A)
2022Aug,2.15,Normal value (A)
2022Jul,2.31,Normal value (A)
2022Jun,2.63,Normal value (A)
2022May,2.04,Normal value (A)
2022Apr,1.69,Normal value (A)
2022Mar,1.22,Normal value (A)
2022Feb,1.11,Normal value (A)
2022Jan,0.66,Normal value (A)
2021Dec,0.41,Normal value (A)
2021Nov,0.47,Normal value (A)
2021Oct,0.47,Normal value (A)
2021Sep,0.33,Normal value (A)
2021Aug,0.21,Normal value (A)
2021Jul,0.33,Normal value (A)
2021Jun,0.45,Normal value (A)
2021May,0.52,Normal value (A)
2021Apr,0.37,Normal value (A)
2021Mar,0.31,Normal value (A)
2021Feb,0.23,Normal value (A)
2021Jan,0.07,Normal value (A)
2020Dec,0.04,Normal value (A)
2020Nov,0.09,Normal value (A)
2020Oct,0.17,Normal value (A)
2020Sep,0.27,Normal value (A)
2020Aug,0.29,Normal value (A)
2020Jul,0.37,Normal value (A)
2020Jun,0.51,Normal value (A)
2020May,0.74,Normal value (A)
2020Apr,0.82,Normal value (A)
2020Mar,0.52,Normal value (A)
2020Feb,0.27,Normal value (A)
2020Jan,0.42,Normal value (A)
2019Dec,0.43,Normal value (A)
2019Nov,0.39,Normal value (A)
2019Oct,0.20,Normal value (A)
2019Sep,0.18,Normal value (A)
2019Aug,0.14,Normal value (A)
2019Jul,0.35,Normal value (A)
2019Jun,0.50,Normal value (A)
2019May,0.87,Normal value (A)
2019Apr,1.05,Normal value (A)
2019Mar,1.13,Normal value (A)
2019Feb,1.31,Normal value (A)
2019Jan,1.38,Normal value (A)
2018Dec,1.42,Normal value (A)
2018Nov,1.59,Normal value (A)
2018Oct,1.59,Normal value (A)
2018Sep,1.46,Normal value (A)
2018Aug,1.40,Normal value (A)
2018Jul,1.32,Normal value (A)
2018Jun,1.37,Normal value (A)
2018May,1.39,Normal value (A)
2018Apr,1.21,Normal value (A)
2018Mar,1.33,Normal value (A)
2018Feb,1.51,Normal value (A)
2018Jan,1.47,Normal value (A)
2017Dec,1.44,Normal value (A)
2017Nov,1.49,Normal value (A)
2017Oct,1.60,Normal value (A)
2017Sep,1.54,Normal value (A)
2017Aug,1.48,Normal value (A)
2017Jul,1.60,Normal value (A)
2017Jun,1.45,Normal value (A)
2017May,1.57,Normal value (A)
2017Apr,1.61,Normal value (A)
2017Mar,1.72,Normal value (A)
2017Feb,1.70,Normal value (A)
2017Jan,1.46,Normal value (A)
2016Dec,1.44,Normal value (A)
2016Nov,1.43,Normal value (A)
2016Oct,1.07,Normal value (A)
2016Sep,1.04,Normal value (A)
2016Aug,1.01,Normal value (A)
2016Jul,1.17,Normal value (A)
2016Jun,1.48,Normal value (A)
2016May,1.57,Normal value (A)
2016Apr,1.53,Normal value (A)
2016Mar,1.54,Normal value (A)
2016Feb,1.72,Normal value (A)
2016Jan,1.72,Normal value (A)
2015Dec,1.69,Normal value (A)
2015Nov,1.72,Normal value (A)
2015Oct,1.73,Normal value (A)
2015Sep,2.02,Normal value (A)
2015Aug,1.96,Normal value (A)
2015Jul,2.10,Normal value (A)
2015Jun,2.22,Normal value (A)
2015May,1.78,Normal value (A)
2015Apr,1.31,Normal value (A)
2015Mar,1.23,Normal value (A)
2015Feb,1.52,Normal value (A)
2015Jan,1.54,Normal value (A)
2014Dec,1.78,Normal value (A)
2014Nov,2.07,Normal value (A)
2014Oct,2.12,Normal value (A)
2014Sep,2.19,Normal value (A)
2014Aug,2.41,Normal value (A)
2014Jul,2.67,Normal value (A)
2014Jun,2.71,Normal value (A)
2014May,2.93,Normal value (A)
2014Apr,3.10,Normal value (A)
2014Mar,3.31,Normal value (A)
2014Feb,3.56,Normal value (A)
2014Jan,3.79,Normal value (A)
2013Dec,4.13,Normal value (A)
2013Nov,4.10,Normal value (A)
2013Oct,4.22,Normal value (A)
2013Sep,4.42,Normal value (A)
2013Aug,4.50,Normal value (A)
2013Jul,4.67,Normal value (A)
2013Jun,4.67,Normal value (A)
2013May,4.25,Normal value (A)
2013Apr,4.59,Normal value (A)
2013Mar,4.92,Normal value (A)
2013Feb,5.22,Normal value (A)
2013Jan,5.05,Normal value (A)
2012Dec,5.34,Normal value (A)
2012Nov,5.69,Normal value (A)
2012Oct,5.64,Normal value (A)
2012Sep,5.91,Normal value (A)
2012Aug,6.58,Normal value (A)
2012Jul,6.79,Normal value (A)
2012Jun,6.59,Normal value (A)
2012May,6.13,Normal value (A)
2012Apr,5.79,Normal value (A)
2012Mar,5.17,Normal value (A)
2012Feb,5.11,Normal value (A)
2012Jan,5.41,Normal value (A)
2011Dec,5.53,Normal value (A)
2011Nov,6.20,Normal value (A)
2011Oct,5.25,Normal value (A)
2011Sep,5.20,Normal value (A)
2011Aug,5.25,Normal value (A)
2011Jul,5.83,Normal value (A)
2011Jun,5.48,Normal value (A)
2011May,5.32,Normal value (A)
2011Apr,5.33,Normal value (A)
2011Mar,5.25,Normal value (A)
2011Feb,5.26,Normal value (A)
2011Jan,5.38,Normal value (A)
2010Dec,5.38,Normal value (A)
2010Nov,4.69,Normal value (A)
2010Oct,4.04,Normal value (A)
2010Sep,4.09,Normal value (A)
2010Aug,4.04,Normal value (A)
2010Jul,4.43,Normal value (A)
2010Jun,4.56,Normal value (A)
2010May,4.08,Normal value (A)
2010Apr,3.90,Normal value (A)
2010Mar,3.83,Normal value (A)
2010Feb,3.98,Normal value (A)
2010Jan,3.99,Normal value (A)
2009Dec,3.81,Normal value (A)
2009Nov,3.79,Normal value (A)
2009Oct,3.78,Normal value (A)
2009Sep,3.81,Normal value (A)
2009Aug,3.79,Normal value (A)
2009Jul,4.01,Normal value (A)
2009Jun,4.25,Normal value (A)
2009May,4.06,Normal value (A)
2009Apr,4.01,Normal value (A)
2009Mar,4.06,Normal value (A)
2009Feb,4.23,Normal value (A)
2009Jan,4.15,Normal value (A)
2008Dec,3.86,Normal value (A)
2008Nov,4.15,Normal value (A)
2008Oct,4.46,Normal value (A)
2008Sep,4.57,Normal value (A)
2008Aug,4.56,Normal value (A)
2008Jul,4.80,Normal value (A)
2008Jun,4.79,Normal value (A)
2008May,4.43,Normal value (A)
2008Apr,4.32,Normal value (A)
2008Mar,4.12,Normal value (A)
2008Feb,4.15,Normal value (A)
2008Jan,4.18,Normal value (A)
2007Dec,4.35,Normal value (A)
2007Nov,4.25,Normal value (A)
2007Oct,4.38,Normal value (A)
2007Sep,4.36,Normal value (A)
2007Aug,4.40,Normal value (A)
2007Jul,4.60,Normal value (A)
2007Jun,4.62,Normal value (A)
2007May,4.34,Normal value (A)
2007Apr,4.21,Normal value (A)
2007Mar,4.01,Normal value (A)
2007Feb,4.10,Normal value (A)
2007Jan,4.07,Normal value (A)
2006Dec,3.82,Normal value (A)
2006Nov,3.75,Normal value (A)
2006Oct,3.81,Normal value (A)
2006Sep,3.76,Normal value (A)
2006Aug,3.89,Normal value (A)
2006Jul,4.02,Normal value (A)
2006Jun,3.99,Normal value (A)
2006May,3.99,Normal value (A)
2006Apr,3.92,Normal value (A)
2006Mar,3.65,Normal value (A)
2006Feb,3.48,Normal value (A)
2006Jan,3.33,Normal value (A)
2005Dec,3.37,Normal value (A)
2005Nov,3.48,Normal value (A)
2005Oct,3.28,Normal value (A)
2005Sep,3.09,Normal value (A)
2005Aug,3.23,Normal value (A)
2005Jul,3.22,Normal value (A)
2005Jun,3.18,Normal value (A)
2005May,3.36,Normal value (A)
2005Apr,3.53,Normal value (A)
2005Mar,3.74,Normal value (A)
