Date,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
01/01/00,8.01258,-4.95911,-0.00032,-5.36438,1.94645,7.45352
02/01/00,8.01258,-4.95911,-0.00032,-5.36438,1.94645,7.45352
03/01/00,8.01258,-4.95911,-0.00032,-5.36438,1.94645,7.45352
04/01/00,7.78627,-4.74383,0.00084,-4.35305,1.83807,7.15108
05/01/00,7.40167,-4.33957,0.0009,-3.49928,1.69308,6.0117
06/01/00,7.43522,-4.38626,-0.00295,-3.36846,1.74632,6.13108
07/01/00,7.29814,-4.24828,0.00185,-3.26759,1.64719,5.10288
08/01/00,7.29814,-4.24828,0.00185,-3.26759,1.64719,5.10288
09/01/00,7.29814,-4.24828,0.00185,-3.26759,1.64719,5.10288
10/01/00,6.79601,-3.78871,-0.00322,-2.9831,1.21809,2.88344
11/01/00,6.95302,-3.94083,0.00348,-2.75224,1.40076,3.59448
12/01/00,7.36963,-4.32821,0.00127,-3.09602,1.73738,5.68047
13/01/00,7.64534,-4.59031,0.01097,-3.75717,1.86521,6.47204
14/01/00,8.1119,-5.04509,0.00165,-5.01934,2.06581,7.55461
15/01/00,8.1119,-5.04509,0.00165,-5.01934,2.06581,7.55461
16/01/00,8.1119,-5.04509,0.00165,-5.01934,2.06581,7.55461
17/01/00,8.13558,-5.09171,0.01254,-4.89468,2.02993,7.38904
18/01/00,8.08677,-5.0385,0.00279,-4.67915,1.9854,7.26034
19/01/00,7.90947,-4.8621,0.00505,-3.97932,2.00486,7.43593
20/01/00,7.94619,-4.87048,29.49902,-30,4.23745,4.74942
21/01/00,8.93814,-5.86535,-0.05589,-6.95533,2.35927,9.89951
22/01/00,8.93814,-5.86535,-0.05589,-6.95533,2.35927,9.89951
23/01/00,8.93814,-5.86535,-0.05589,-6.95533,2.35927,9.89951
24/01/00,8.72462,-5.64804,-0.00138,-6.57333,2.24297,9.48136
25/01/00,8.46744,-5.36772,0.01624,-5.95563,2.2302,9.18356
26/01/00,8.31516,-5.19492,0.00199,-5.61655,2.22952,9.27455
27/01/00,8.24979,-5.09375,-0.00261,-5.57286,2.17244,9.61406
28/01/00,7.95359,-4.76786,0.00167,-4.42904,2.05035,8.82984
29/01/00,7.95359,-4.76786,0.00167,-4.42904,2.05035,8.82984
30/01/00,7.95359,-4.76786,0.00167,-4.42904,2.05035,8.82984
31/01/00,8.09921,-4.87151,0.00162,-5.0097,2.13248,9.49469
01/02/00,8.12541,-4.87709,0.00122,-5.40633,2.13163,9.55701
02/02/00,7.42655,-4.15252,-0.00376,-3.49608,1.97849,7.71181
03/02/00,7.53625,-4.26383,0.00157,-3.77848,1.96223,7.8714
04/02/00,7.55552,-4.32054,0.04114,-4.25111,2.03662,8.85186
05/02/00,7.55552,-4.32054,0.04114,-4.25111,2.03662,8.85186
06/02/00,7.55552,-4.32054,0.04114,-4.25111,2.03662,8.85186
07/02/00,8.27083,-5.03783,0.00295,-5.97851,2.10416,10.07588
08/02/00,8.509,-5.26275,0.00145,-6.69087,2.22851,10.80817
09/02/00,8.61024,-5.36204,0.05941,-7.29989,2.24098,11.10337
10/02/00,8.46507,-5.22975,-0.00098,-6.59972,2.1903,10.97132
11/02/00,7.53259,-4.26259,9.89716,-10.30686,4.0926,5.97291
12/02/00,7.53259,-4.26259,9.89716,-10.30686,4.0926,5.97291
13/02/00,7.53259,-4.26259,9.89716,-10.30686,4.0926,5.97291
14/02/00,8.93369,-5.68006,-0.76887,-7.78454,2.01245,11.32731
15/02/00,8.89955,-5.62189,-0.59369,-7.74937,2.11617,11.45853
16/02/00,8.93921,-5.65932,-0.85908,-7.80655,1.97787,11.29269
17/02/00,7.79845,-4.46184,25.25252,-25.88547,4.99175,5.92317
18/02/00,6.13807,-2.81115,-1.3157,-2.06503,0.46232,1.12261
19/02/00,6.13807,-2.81115,-1.3157,-2.06503,0.46232,1.12261
20/02/00,6.13807,-2.81115,-1.3157,-2.06503,0.46232,1.12261
21/02/00,6.11264,-2.60498,-1.77791,-1.93769,0.43198,1.31418
22/02/00,7.10953,-3.67779,-0.00016,-3.18103,1.8271,8.55313
23/02/00,7.43399,-3.97996,-0.01041,-4.06662,2.04219,9.60707
24/02/00,7.41622,-3.97177,0.00149,-3.82374,2.08023,9.13211
25/02/00,7.48451,-4.05858,0.00309,-3.93881,2.26916,9.57782
26/02/00,7.48451,-4.05858,0.00309,-3.93881,2.26916,9.57782
27/02/00,7.48451,-4.05858,0.00309,-3.93881,2.26916,9.57782
28/02/00,7.69145,-4.2695,0.03085,-4.45596,2.20854,9.90487
29/02/00,7.33761,-3.89747,-0.00337,-3.40352,2.06844,9.07495
01/03/00,7.47568,-3.99868,0.01483,-3.80748,2.18085,9.91709
02/03/00,7.28349,-3.79955,-0.00158,-3.25648,2.0485,9.30795
03/03/00,7.07159,-3.60557,-0.00016,-2.81734,1.92062,8.78504
04/03/00,7.07159,-3.60557,-0.00016,-2.81734,1.92062,8.78504
05/03/00,7.07159,-3.60557,-0.00016,-2.81734,1.92062,8.78504
06/03/00,6.86001,-3.38791,0.00129,-2.47692,1.76493,7.15389
07/03/00,6.85375,-3.36282,0.00149,-2.58114,1.73113,6.89542
08/03/00,6.66091,-3.13208,-0.02127,-1.9811,1.65835,5.65627
09/03/00,6.26045,-2.76472,0.0197,-1.94467,1.07399,2.56244
10/03/00,6.82962,-3.22826,0.00107,-2.71905,1.83786,6.28312
11/03/00,6.82962,-3.22826,0.00107,-2.71905,1.83786,6.28312
12/03/00,6.82962,-3.22826,0.00107,-2.71905,1.83786,6.28312
13/03/00,6.45172,-2.87839,0.00151,-2.13288,1.37631,4.01563
14/03/00,6.89745,-3.24421,0.00025,-2.8636,1.87252,6.96398
15/03/00,7.02611,-3.36093,0.00045,-3.27255,1.936,7.52314
16/03/00,7.21329,-3.54427,0.00108,-3.90111,2.01349,8.56566
17/03/00,7.34215,-3.67826,0.00632,-4.3792,2.2089,9.35305
18/03/00,7.34215,-3.67826,0.00632,-4.3792,2.2089,9.35305
19/03/00,7.34215,-3.67826,0.00632,-4.3792,2.2089,9.35305
20/03/00,6.87532,-3.22502,0.001,-3.17526,1.97669,7.98237
21/03/00,6.97644,-3.35193,0.00934,-3.51023,2.04582,8.41112
22/03/00,7.46933,-3.81109,0.01146,-4.67839,2.37493,9.71998
23/03/00,7.28747,-3.61325,0.00003,-4.28144,2.37227,9.86546
24/03/00,7.16065,-3.48032,-0.03815,-3.98404,2.20967,9.06142
25/03/00,7.16065,-3.48032,-0.03815,-3.98404,2.20967,9.06142
26/03/00,7.16065,-3.48032,-0.03815,-3.98404,2.20967,9.06142
27/03/00,7.57674,-3.89025,-0.00488,-4.9162,2.33952,9.90234
28/03/00,7.25128,-3.5747,-0.00702,-4.03075,2.20603,9.49208
29/03/00,7.12838,-3.451,-0.00685,-3.64309,2.16212,8.79953
30/03/00,7.46041,-3.75426,0.0019,-4.45845,2.3338,9.39082
31/03/00,7.08097,-3.3701,0.00079,-3.5891,2.24476,8.31068
01/04/00,7.08097,-3.3701,0.00079,-3.5891,2.24476,8.31068
02/04/00,7.08097,-3.3701,0.00079,-3.5891,2.24476,8.31068
03/04/00,6.82184,-3.12237,-0.00528,-3.00118,2.0508,7.6746
04/04/00,7.02518,-3.30868,-0.0202,-3.53891,2.25663,8.62594
05/04/00,8.50286,-4.76582,-1.01327,-7.49565,2.46119,11.53077
06/04/00,7.6831,-3.94238,26.56728,-28.39701,6.21025,6.99251
07/04/00,7.0234,-3.28513,25.65395,-26.38169,5.23384,5.75538
08/04/00,7.0234,-3.28513,25.65395,-26.38169,5.23384,5.75538
09/04/00,7.0234,-3.28513,25.65395,-26.38169,5.23384,5.75538
10/04/00,6.89494,-3.1841,0.00182,-3.34298,2.26426,8.57397
11/04/00,6.74891,-2.99172,0.00133,-3.00152,2.29439,8.15611
12/04/00,6.79655,-3.03276,0.00308,-2.89314,2.2311,8.12771
13/04/00,6.64943,-2.8701,0.00119,-2.57321,2.15565,7.88953
14/04/00,6.63475,-2.86999,0.00247,-2.66901,2.02935,7.5729
15/04/00,6.63475,-2.86999,0.00247,-2.66901,2.02935,7.5729
16/04/00,6.63475,-2.86999,0.00247,-2.66901,2.02935,7.5729
17/04/00,6.98646,-3.20919,0.01759,-3.25403,2.41168,8.66768
18/04/00,7.20777,-3.38844,0.0098,-3.76657,2.59721,9.80632
19/04/00,6.76834,-2.95262,4.13588,-4.97732,3.98876,6.13954
20/04/00,6.83891,-2.99777,0.00197,-2.79608,2.25542,8.47008
21/04/00,6.83891,-2.99777,0.00197,-2.79608,2.25542,8.47008
22/04/00,6.83891,-2.99777,0.00197,-2.79608,2.25542,8.47008
23/04/00,6.83891,-2.99777,0.00197,-2.79608,2.25542,8.47008
24/04/00,6.83891,-2.99777,0.00197,-2.79608,2.25542,8.47008
25/04/00,6.64387,-2.76696,0.00087,-2.32689,1.98855,7.04895
26/04/00,6.68527,-2.81806,-0.0086,-2.46637,1.9187,7.49425
27/04/00,6.48291,-2.60472,0.00148,-2.11703,1.82214,6.54214
28/04/00,5.96635,-2.23916,-0.00025,1.05211,2.54,0.67126
29/04/00,5.96635,-2.23916,-0.00025,1.05211,2.54,0.67126
30/04/00,5.96635,-2.23916,-0.00025,1.05211,2.54,0.67126
01/05/00,5.96635,-2.23916,-0.00025,1.05211,2.54,0.67126
02/05/00,5.90333,-2.19854,-0.00896,-2.24128,0.4746,1.39671
03/05/00,5.93959,-2.12926,-0.01593,-1.91215,0.57134,1.67826
04/05/00,6.09039,-2.15087,0.00088,-1.80436,0.6458,1.73572
05/05/00,6.09827,-2.00188,-0.00374,-1.08554,1.22586,3.56206
06/05/00,6.09827,-2.00188,-0.00374,-1.08554,1.22586,3.56206
07/05/00,6.09827,-2.00188,-0.00374,-1.08554,1.22586,3.56206
08/05/00,5.97721,-2.03202,0.00125,-1.62054,0.63996,1.64612
09/05/00,5.90878,-1.95896,0.00104,-1.56585,0.59662,1.52214
10/05/00,5.94925,-1.84771,-0.0044,-0.90345,1.20037,3.40138
11/05/00,6.05459,-1.91753,0.00323,-1.15673,1.2997,4.08528
12/05/00,5.97699,-1.85449,-0.00005,-0.94686,0.98431,3.33102
13/05/00,5.97699,-1.85449,-0.00005,-0.94686,0.98431,3.33102
14/05/00,5.97699,-1.85449,-0.00005,-0.94686,0.98431,3.33102
15/05/00,5.89567,-1.8193,-0.00021,-0.91833,0.81302,2.19149
16/05/00,5.82169,-1.79796,-0.00044,-1.24399,0.56487,1.43061
17/05/00,5.75332,-1.22255,-1.9068,-1.4552,0.17703,0.94564
