Data Source in SDW: null
,ICP.M.DE.N.XEF000.4.ANR
,"Germany - HICP - All-items excluding energy and food, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Percentage change ]
,,obs. status,obs. comment
2023Jun,6.1,Estimated value (E),
2023May,5.1,Normal value (A),
2023Apr,5.6,Normal value (A),
2023Mar,5.9,Normal value (A),
2023Feb,5.4,Normal value (A),
2023Jan,5.1,Normal value (A),
2022Dec,5.4,Normal value (A),
2022Nov,5.1,Normal value (A),
2022Oct,5.1,Normal value (A),
2022Sep,4.7,Normal value (A),
2022Aug,3.4,Normal value (A),
2022Jul,3.2,Normal value (A),
2022Jun,3.2,Normal value (A),
2022May,4.0,Normal value (A),
2022Apr,3.9,Normal value (A),
2022Mar,3.4,Normal value (A),
2022Feb,3.0,Normal value (A),
2022Jan,2.8,Normal value (A),
2021Dec,3.9,Normal value (A),
2021Nov,4.1,Normal value (A),
2021Oct,2.8,Normal value (A),
2021Sep,2.5,Normal value (A),
2021Aug,2.1,Normal value (A),
2021Jul,1.8,Normal value (A),
2021Jun,1.2,Normal value (A),
2021May,1.6,Normal value (A),
2021Apr,1.1,Normal value (A),
2021Mar,1.6,Normal value (A),
2021Feb,1.7,Normal value (A),
2021Jan,2.0,Normal value (A),
2020Dec,-0.1,Normal value (A),
2020Nov,-0.1,Normal value (A),
2020Oct,0.1,Normal value (A),
2020Sep,0.3,Normal value (A),
2020Aug,0.6,Normal value (A),
2020Jul,0.7,Normal value (A),
2020Jun,1.1,Normal value (A),
2020May,1.1,Normal value (A),
2020Apr,1.0,Normal value (A),
2020Mar,1.3,Normal value (A),
2020Feb,1.4,Normal value (A),
2020Jan,1.3,Normal value (A),
2019Dec,1.7,Normal value (A),
2019Nov,1.8,Normal value (A),
2019Oct,1.1,Normal value (A),
2019Sep,1.0,Normal value (A),
2019Aug,0.8,Normal value (A),
2019Jul,0.9,Normal value (A),
2019Jun,1.5,Normal value (A),
2019May,0.9,Normal value (A),
2019Apr,2.0,Normal value (A),
2019Mar,1.0,Normal value (A),
2019Feb,1.6,Normal value (A),
2019Jan,1.8,Normal value (A),
2018Dec,1.2,Normal value (A),
2018Nov,1.1,Normal value (A),
2018Oct,1.8,Normal value (A),
2018Sep,1.4,Normal value (A),
2018Aug,1.3,Normal value (A),
2018Jul,1.4,Normal value (A),
2018Jun,1.1,Normal value (A),
2018May,1.9,Normal value (A),
2018Apr,0.9,Normal value (A),
2018Mar,1.6,Normal value (A),
2018Feb,1.3,Normal value (A),
2018Jan,1.2,Normal value (A),
2017Dec,1.2,Normal value (A),
2017Nov,1.3,Normal value (A),
2017Oct,1.1,Normal value (A),
2017Sep,1.6,Normal value (A),
2017Aug,1.7,Normal value (A),
2017Jul,1.6,Normal value (A),
2017Jun,1.8,Normal value (A),
2017May,1.0,Normal value (A),
2017Apr,1.6,Normal value (A),
2017Mar,0.8,Normal value (A),
2017Feb,1.0,Normal value (A),
2017Jan,0.9,Normal value (A),
2016Dec,1.3,Normal value (A),
2016Nov,1.1,Normal value (A),
2016Oct,1.0,Normal value (A),
2016Sep,1.0,Normal value (A),
2016Aug,1.0,Normal value (A),
2016Jul,1.3,Normal value (A),
2016Jun,1.0,Normal value (A),
2016May,1.0,Normal value (A),
2016Apr,0.6,Normal value (A),
2016Mar,1.3,Normal value (A),
2016Feb,0.9,Normal value (A),
2016Jan,1.1,Normal value (A),
2015Dec,1.0,Normal value (A),
2015Nov,1.1,Normal value (A),
2015Oct,2.7,Normal value (A),
2015Sep,2.5,Normal value (A),
2015Aug,2.5,Normal value (A),
2015Jul,2.5,Normal value (A),
2015Jun,2.2,Normal value (A),
2015May,2.7,Normal value (A),
2015Apr,2.1,Normal value (A),
2015Mar,1.1,Normal value (A),
2015Feb,1.0,Normal value (A),
2015Jan,0.9,Normal value (A),
2014Dec,1.2,Normal value (A),
2014Nov,0.9,Normal value (A),
2014Oct,1.1,Normal value (A),
2014Sep,1.1,Normal value (A),
2014Aug,1.2,Normal value (A),
2014Jul,1.1,Normal value (A),
2014Jun,1.1,Normal value (A),
2014May,0.8,Normal value (A),
2014Apr,1.3,Normal value (A),
2014Mar,0.8,Normal value (A),
2014Feb,1.1,Normal value (A),
2014Jan,1.3,Normal value (A),
2013Dec,0.7,Normal value (A),
2013Nov,1.6,Normal value (A),
2013Oct,0.9,Normal value (A),
2013Sep,1.4,Normal value (A),
2013Aug,1.2,Normal value (A),
2013Jul,1.1,Normal value (A),
2013Jun,1.1,Normal value (A),
2013May,1.0,Normal value (A),
2013Apr,0.7,Normal value (A),
2013Mar,1.8,Normal value (A),
2013Feb,1.2,Normal value (A),
2013Jan,1.1,Normal value (A),
2012Dec,1.5,Normal value (A),
2012Nov,1.3,Normal value (A),
2012Oct,1.3,Normal value (A),
2012Sep,1.2,Normal value (A),
2012Aug,1.2,Normal value (A),
2012Jul,1.3,Normal value (A),
2012Jun,1.4,Normal value (A),
2012May,1.5,Normal value (A),
2012Apr,1.3,Normal value (A),
2012Mar,1.4,Normal value (A),
2012Feb,1.5,Normal value (A),
2012Jan,1.3,Normal value (A),Implementation of HICP Regulation No. 114/2010 on the quality of HICP weights in the HICPs of DE, IE, CY, LU, MT, AT, FI.  See Box 3 in the April 2012 ECB Monthly Bulletin for details.
2011Dec,1.2,Normal value (A),
2011Nov,1.3,Normal value (A),
2011Oct,1.3,Normal value (A),
2011Sep,1.4,Normal value (A),
