Data Source in SDW: null
,IRS.M.DE.L.L40.CI.0000.EUR.N.Z
,"Germany, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector"
Collection:,Average of observations through period (A)
Period\Unit:,[Percent ]
,,obs. status
2023Jun,2.38,Normal value (A)
2023May,2.34,Normal value (A)
2023Apr,2.36,Normal value (A)
2023Mar,2.38,Normal value (A)
2023Feb,2.37,Normal value (A)
2023Jan,2.19,Normal value (A)
2022Dec,2.08,Normal value (A)
2022Nov,2.07,Normal value (A)
2022Oct,2.19,Normal value (A)
2022Sep,1.80,Normal value (A)
2022Aug,1.03,Normal value (A)
2022Jul,1.08,Normal value (A)
2022Jun,1.45,Normal value (A)
2022May,0.95,Normal value (A)
2022Apr,0.74,Normal value (A)
2022Mar,0.28,Normal value (A)
2022Feb,0.15,Normal value (A)
2022Jan,-0.12,Normal value (A)
2021Dec,-0.38,Normal value (A)
2021Nov,-0.31,Normal value (A)
2021Oct,-0.21,Normal value (A)
2021Sep,-0.36,Normal value (A)
2021Aug,-0.54,Normal value (A)
2021Jul,-0.45,Normal value (A)
2021Jun,-0.29,Normal value (A)
2021May,-0.22,Normal value (A)
2021Apr,-0.33,Normal value (A)
2021Mar,-0.36,Normal value (A)
2021Feb,-0.45,Normal value (A)
2021Jan,-0.58,Normal value (A)
2020Dec,-0.62,Normal value (A)
2020Nov,-0.61,Normal value (A)
2020Oct,-0.61,Normal value (A)
2020Sep,-0.52,Normal value (A)
2020Aug,-0.52,Normal value (A)
2020Jul,-0.52,Normal value (A)
2020Jun,-0.43,Normal value (A)
2020May,-0.52,Normal value (A)
2020Apr,-0.45,Normal value (A)
2020Mar,-0.54,Normal value (A)
2020Feb,-0.47,Normal value (A)
2020Jan,-0.31,Normal value (A)
2019Dec,-0.30,Normal value (A)
2019Nov,-0.35,Normal value (A)
2019Oct,-0.47,Normal value (A)
2019Sep,-0.59,Normal value (A)
2019Aug,-0.65,Normal value (A)
2019Jul,-0.39,Normal value (A)
2019Jun,-0.31,Normal value (A)
2019May,-0.13,Normal value (A)
2019Apr,-0.04,Normal value (A)
2019Mar,0.01,Normal value (A)
2019Feb,0.06,Normal value (A)
2019Jan,0.13,Normal value (A)
2018Dec,0.19,Normal value (A)
2018Nov,0.31,Normal value (A)
2018Oct,0.40,Normal value (A)
2018Sep,0.37,Normal value (A)
2018Aug,0.29,Normal value (A)
2018Jul,0.28,Normal value (A)
2018Jun,0.33,Normal value (A)
2018May,0.45,Normal value (A)
2018Apr,0.48,Normal value (A)
2018Mar,0.53,Normal value (A)
2018Feb,0.66,Normal value (A)
2018Jan,0.47,Normal value (A)
2017Dec,0.30,Normal value (A)
2017Nov,0.31,Normal value (A)
2017Oct,0.37,Normal value (A)
2017Sep,0.35,Normal value (A)
2017Aug,0.35,Normal value (A)
2017Jul,0.46,Normal value (A)
2017Jun,0.25,Normal value (A)
2017May,0.34,Normal value (A)
2017Apr,0.22,Normal value (A)
2017Mar,0.35,Normal value (A)
2017Feb,0.26,Normal value (A)
2017Jan,0.25,Normal value (A)
2016Dec,0.25,Normal value (A)
2016Nov,0.19,Normal value (A)
