n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,n_39,n_40,n_41,n_42,n_43,n_44,n_45,n_46,n_47,n_48,n_49,n_50,n_51,n_52,n_53,n_54,n_55,n_56,n_57,n_58,n_59,n_60,n_61,n_62,n_63,n_64,n_65,n_66,n_67,n_68,n_69,n_70,n_71,n_72,n_73,n_74,n_75,n_76,n_77,n_78,n_79,n_80,n_81,n_82,n_83,n_84,n_85,n_86,n_87,n_88,n_89,n_90,n_91,n_92,n_93,n_94,n_95,n_96,n_97,n_98,n_99,n_100,n_101,n_102,n_103,n_104,n_105,n_106,n_107,n_108,n_109,n_110,n_111,n_112,n_113,n_114,n_115,n_116,n_117,n_118,n_119,n_120
5.687148806824969,6.341673397018172,6.779011737644042,7.057572021407934,7.2398781162000825,7.3651352852711724,7.45550150238616,7.5234902373160875,7.576421140263852,7.618777854305306,7.653436171028879,7.682318764905971,7.706758038352628,7.727706023452742,7.745860952396587,7.761746517215044,7.775763192520348,7.788222459567075,7.799370224844774,7.809403213600619,7.818480679619191,7.826732921454579,7.834267577043487,7.841174344666669,7.84752857088,7.853394010461539,7.858824973037038,7.863868009714286,7.868563250758622,7.872945475733333,7.87704497651613,7.880888258500001,7.8844986143030305,7.8878965962352945,7.89110040777143,7.894126229777777,7.8969884938378385,7.899700112421053,7.9022726736410265,7.904716606800001,7.907041323707317,7.9092553398095244,7.911366378418605,7.9133814607272734,7.915306983822223,7.91714878852174,7.918912218553192,7.920602172333335,7.922223148408164,7.923779285440001,7.925274397490197,7.926712005230769,7.928095363622642,7.929427486518519,7.930711168581819,7.9319490048571435,7.933143408280702,7.934296625379311,7.935410750372882,7.936487737866668,7.937529414295082,7.938537488258065,7.939513559873016,7.940459129250001,7.941375604184615,7.942264307151516,7.943126481671643,7.943963298117647,7.944775859014493,7.945565203885715,7.946332313690141,7.94707811488889,7.947803483178083,7.94850924691892,7.949196190293334,7.949865056210527,7.950516548987014,7.951151336820514,7.95177005407595,7.952373303400001,7.952961657679014,7.9535356618536595,7.954095834602411,7.9546426699047625,7.955176638494118,7.955698189209302,7.956207750252874,7.9567057303636375,7.957192519910112,7.957668491911112,7.958134002989012,7.95858939426087,7.959034992172044,7.959471109276596,7.959898044968422,7.960316086166667,7.960725507958764,7.961126574204083,7.961519538101011,7.96190464272,7.962282121504951,7.962652198745099,7.963015090019418,7.963371002615386,7.96372013592381,7.964062681811321,7.964398824971964,7.9647287432592595,7.965052608000001,7.96537058429091,7.96568283127928,7.965989502428572,7.9662907457699115,7.966586704140352,7.966877515408696,7.967163312689656,7.967444224547009,7.967720375186441,7.967991884638655,7.968258868933334
5.673161998111554,6.240137257666606,6.624041834573944,6.888239254047004,7.075911711681071,7.213408342707165,7.317046840177812,7.3972058443151845,7.460657520047291,7.511928344091561,7.5541143159730435,7.58938056726025,7.619273826100325,7.644921617051237,7.667161646849526,7.686627405595111,7.70380583726304,7.719076889833064,7.732741110921119,7.74503922492638,7.756166243575474,7.766281790133747,7.77551776070338,7.783984085091728,7.79177311239159,7.798962988107976,7.805620282588693,7.811802057096811,7.817557502853314,7.822929252485771,7.827954437754483,7.832665549007716,7.837091138398495,7.841256399017321,7.845183644751471,7.848892710170954,7.852401285569704,7.8557251991063275,7.858878655538993,7.861874439150265,7.864724086975743,7.867438037285781,7.870025757348871,7.872495853772744,7.874856168133341,7.877113860130439,7.879275480127662,7.881347032625002,7.883334031959185,7.88524155132,7.887074266000002,7.888836491653846,7.890532218226415,7.8921651401111115,7.893738683018182,7.895256027964286,7.896720132736842,7.898133751137932,7.899499450271187,7.9008196261000005,7.90209651747541,7.903332218806452,7.90452869152381,7.905687774468751,7.906811193323077,7.90790056918182,7.908957426358209,7.909983199500001,7.910979240086957,7.911946822371429,7.912887148816902,7.913801355083334,7.91469051460274,7.915555642783784,7.91639770088,7.917217599552632,7.918016202155844,7.918794327769231,7.919552754000001,7.920292219575001,7.921013426740741,7.921717043487805,7.9224037056144585,7.923074018642857,7.9237285596,7.924367878674419,7.924992500758621,7.925602926886365,7.926199635573034,7.926783084066667,7.927353709516484,7.9279119300652185,7.928458145870969,7.928992740063831,7.929516079642106,7.9300285163125,7.93053038727835,7.931022015979592,7.93150371278788,7.931975775660001,7.932438490752475,7.932892133,7.933336966660194,7.933773245826923,7.934201214914286,7.934621109113208,7.93503315482243,7.935437570055556,7.935834564825688,7.936224341509091,7.936607095189189,7.936983013982143,7.937352279345133,7.937715066368422,7.938071544052175,7.938421875568966,7.9387662185128205,7.939104725135594,7.939437542571429,7.939764813050001
5.066634490565367,5.53706270882451,5.97912957558136,6.3505920614760045,6.652494042922275,6.894800685369066,7.0889811809019845,7.245396976431776,7.372535741256054,7.477025788654701,7.563923295331695,7.637047696175203,7.699280174062094,7.7528026671133565,7.7992796356785075,7.83999267243429,7.875938916599988,7.907902683252313,7.9365076465005036,7.962255028828617,7.9855517436649395,8.00673131049386,8.026069544915265,8.04379644503962,8.060105286115894,8.075159647602495,8.089098894605314,8.102042492849247,8.114093435035134,8.125340984029572,8.135862886183515,8.145727170195952,8.154993619186358,8.163714983128914,8.171937983511317,8.179704150586124,8.187050524869637,8.194010247886881,8.20061306203737,8.2068857354833,8.212852424860188,8.218534986172255,8.22395324230739,8.229125214072933,8.234067320426771,8.238794552591356,8.24332062594045,8.247658112900012,8.251818559575517,8.255812588384003,8.259649988611766,8.263339796523079,8.2668903664,8.27030943368889,8.273604171258182,8.276781239628573,8.279846831915789,8.282806714124138,8.285666261342374,8.28843049032,8.291104088839345,8.293691442245162,8.29619665744762,8.298623584675,8.300975837218461,8.30325680938182,8.30546969282388,8.307617491458824,8.30970303506087,8.311728991702857,8.313697879143662,8.315612075266667,8.317473827660274,8.319285262421621,8.321048392256,8.322765123936843,8.324437265184416,8.326066531015385,8.327654549610129,8.329202867740001,8.330712955792592,8.332186212429269,8.333623968906025,8.335027493085715,8.33639799316706,8.33773662115349,8.339044476082757,8.340322607036363,8.341572015946069,8.342793660213333,8.343988455156044,8.345157276295652,8.346300961496775,8.347420312970215,8.348516099149474,8.349589056450002,8.35063989091959,8.351669279787755,8.352677872921213,8.353666294192,8.354635142764357,8.355584994305884,8.356516402128156,8.35742989826154,8.358325994468572,8.3592051831999985,8.360067938497197,8.360914716844446,8.361745957974312,8.362562085629092,8.363363508281083,8.364150619814287,8.364923800169912,8.365683415957895,8.36642982103652,8.36716335706207,8.367884354010258,8.368593130671186,8.369289995119326,8.36997524516
4.886698945645293,5.400697151865896,5.832519566584763,6.190434205408777,6.484506603757728,6.724875159959289,6.920882183330445,7.080705802070447,7.2112730837143015,7.318320887101077,7.4065253166850935,7.479654495107917,7.5407201005154665,7.592115538236546,7.6357358387988175,7.673078388887576,7.705325676123884,7.7334121597050345,7.758077661787611,7.779909610751806,7.7993762369595805,7.81685252799566,7.832640450594884,7.84698466931466,7.860084749857472,7.872104630901752,7.883179980626487,7.893423918824848,7.902931477830151,7.911783090685949,7.920047328766676,7.927783059663271,7.935041156467692,7.941865859071217,7.948295864686613,7.954365206892547,7.960103968808267,7.965538865549609,7.9706937231296084,7.975589874861728,7.9802464916517595,7.984680858982732,7.988908610645385,7.9929439271462535,7.996799705086282,8.00048770253087,8.004018664401055,8.007402431139552,8.010648033295002,8.013763774184802,8.016757302413124,8.01963567571352,8.022405417338604,8.025072566019345,8.02764272035394,8.030121078352998,8.03251247275819,8.034821402660823,8.037052061871192,8.039208364426553,8.041293967572317,8.043312292506457,8.045266543138906,8.047159723085569,8.04899465108879,8.050773975032438,8.052500184699392,8.054175623401548,8.055802498597176,8.057382891597316,8.058918766451196,8.060411978090723,8.06186427980522,8.06327733010983,8.064652699064283,8.065991874092678,8.06729626534968,8.068567210673864,8.069805980164807,8.071013780416878,8.072191758439363,8.073341005289754,8.074462559444378,8.07555740992824,8.076626499223957,8.0776707259777,8.078690947518568,8.079687982206128,8.080662611619735,8.081615582601874,8.082547609166786,8.083459374284606,8.084351531550412,8.085224706746718,8.086079499307306,8.086916483689539,8.087736210661824,8.088539208512222,8.089325984183823,8.090097024341988,8.09085279637821,8.091593749354896,8.092320314895142,8.093032908021152,8.09373192794476,8.094417758813206,8.095090770413083,8.095751318835186,8.096399747102753,8.097036385765454,8.097661553461261,8.098275557448215,8.098878694107965,8.099471249422807,8.100053499427824,8.100625710639655,8.101188140463249,8.101741037577966,8.102284642304204,8.102819186951667
4.560480396970139,4.89418314140001,5.292217711467641,5.667310650114439,5.991315743089521,6.260907366490592,6.481946557186196,6.662687626920324,6.81107021863806,6.933829716082608,7.036366964211606,7.12289752657479,7.196673641504133,7.260197380233192,7.315398817968116,7.363775825726308,7.40650028546391,7.444497510866026,7.478505241083072,7.509117429901954,7.536816851149326,7.56199951459805,7.584993083073632,7.606070879944856,7.62546263676339,7.643362813932772,7.659937100096956,7.675327533242946,7.689656569764856,7.703030343604836,7.715541296607273,7.727270316723981,7.73828848799361,7.7486585319794,7.758436002246896,7.767670279836074,7.776405407343705,7.784680791328141,7.792531796661949,7.799990251736856,7.807084879738914,7.813841668314335,7.820284187654727,7.82643386520745,7.832310223758101,7.83793108845886,7.843312767427744,7.848470209772961,7.85341714426737,7.858166201382011,7.862729020962751,7.867116347482695,7.871338114511324,7.87540351979815,7.879321092165455,7.88309875123393,7.8867438608614036,7.890263277053449,7.893663391001695,7.896950167818333,7.900129181460657,7.903205646275807,7.90618444554127,7.909070157329688,7.9118670779861535,7.914579243471213,7.917210448792537,7.91976426572206,7.922244058972464,7.924653000987144,7.926994085480284,7.929270139848611,7.931483836563014,7.933637703636487,7.935734134254668,7.937775395646052,7.9397636372610405,7.941700898321795,7.943589114798735,7.945430125863751,7.947225679865432,7.948977439867074,7.950686988784336,7.952355834155952,7.953985412577648,7.9555770938267445,7.9571321847023,7.958651932603411,7.9601375288662934,7.961590111878889,7.963010769990111,7.964400544229348,7.965760430850539,7.9670913837138295,7.968394316516843,7.9696701048864576,7.970919588341237,7.972143572133674,7.973342828980808,7.974518100691001,7.975670099694059,7.9767995104813725,7.977906990962137,7.978993173741347,7.980058667324762,7.98110405725566,7.9821299071878515,7.983136759899075,7.984125138248625,7.985095546082729,7.986048469090992,7.986984375616966,7.987903717425666,7.988806930430702,7.989694435383478,7.990566638526725,7.991423932214531,7.992266695500848,7.993095294698319,7.993910083909166
4.810124449098954,5.27478150958724,5.735889331300104,6.140455330577112,6.474913135585306,6.742893897747418,6.954256846263873,7.1199856017522,7.250055145364042,7.352740541449917,7.434577872746506,7.500582596740649,7.554537504847947,7.599268279411528,7.636876768988982,7.668926306352194,7.6965834873125,7.720724092988434,7.74201102531786,7.760951106166074,7.7779362506894545,7.793273250211011,7.807205326970312,7.819927777214026,7.831599377730446,7.842350756849977,7.852290586477163,7.861510204377871,7.87008709974612,7.878087570193172,7.88556877004007,7.892580307473612,7.899165504090758,7.905362399175919,7.911204558901187,7.916721734825415,7.921940404714724,7.926884220501156,7.931574382219995,7.93602995237713,7.940268121945423,7.9443044367558615,7.948152991211447,7.951826594849753,7.955336916200127,7.958694607541589,7.961909413508196,7.9649902659665965,7.967945367173555,7.970782262885782,7.97350790682238,7.976128717658301,7.978650629544879,7.981079137003044,7.9834193349096925,7.985675954193583,7.987853393769539,7.98995574916631,7.99198683824125,7.993950224322271,7.995849237072684,7.997686991336311,7.999466404187447,8.001190210382127,8.002860976382971,8.00448111310891,8.006052887543094,8.007578433316494,8.009059760371192,8.010498763795335,8.011897231911476,8.01325685369087,8.014579225558373,8.015865857645593,8.017118179543766,8.018337545602476,8.019525239815483,8.0206824803307,8.021810423617676,8.02291016832247,8.023982758837018,8.025029188607304,8.026050403202401,8.027047303164279,8.028020746656468,8.028971551927905,8.029900499606896,8.030808334838635,8.031695769278652,8.032563482953334,8.0334121259978,8.034242320280434,8.035054660922581,8.035849717721277,8.036628036482107,8.03739014026875,8.038136530575258,8.038867688426532,8.03958407541212,8.040286134658,8.040974291740593,8.041648955547059,8.042310519085436,8.042959360248076,8.04359584253143,8.044220315715094,8.044833116502804,8.045434569127778,8.04602498592477,8.0466046678709109,8.047173905097297,8.047732977373215,8.048282154564603,8.048821697068421,8.049351856224348,8.049872874705173,8.050384986887181,8.050888419201696,8.051383390468908,8.051870112215
4.610593193885402,5.046640970172459,5.511384650297185,5.92262713961892,6.2618603051398996,6.533921311349155,6.7503025617226395,6.922772784474329,7.061327309195487,7.173842255812833,7.266317603028888,7.343260600232629,7.4080467101201695,7.4632121594243674,7.510676130961172,7.551904344318963,7.588027806932948,7.619928653703188,7.648302300514683,7.673702689784892,7.696575479616911,7.717282606985946,7.736120641008168,7.753334630130074,7.7691286504460555,7.783673916339585,7.797115072825366,7.809575119010687,7.82115929176444,7.831958152779964,7.842050060350924,7.851503162221189,7.860377012906764,7.868723894509428,7.876589901860888,7.884015839169308,7.891037964987965,7.897688614428425,7.903996721474674,7.909988259565482,7.915686614965151,7.921112904589558,7.926286247710005,7.931223999182276,7.935941950437407,7.94045450334352,7.9447748211436,7.948914959944591,7.952885983642652,7.956698064688791,7.960360572706742,7.963882152653021,7.9672707939440315,7.970533891755974,7.973678301521505,7.976710387495624,7.979636066136677,7.982460844942209,7.985189857289979,7.987827893758962,7.990379430341296,7.992848653901635,7.995239485194177,7.997555599707915,7.999800446576751,8.001977265761843,8.004089103688438,8.006138827497606,8.008129138054477,8.010062581838143,8.011941561824198,8.013768347458289,8.015545083808343,8.017273799973442,8.018956416818963,8.02059475410028,8.022190537030776,8.023745402344064,8.025260903895504,8.026738517843214,8.028179647445127,8.029585627504826,8.030957728495878,8.032297160391416,8.033605076223349,8.03488257539317,8.036130706754365,8.037350471484624,8.0385428257644,8.03970868327685,8.04084891754292,8.041964364104157,8.043055822564645,8.044124058502616,8.045169805261327,8.046193765627958,8.047196613408719,8.04817899490746,8.049141530314714,8.050084815013344,8.051009420806682,8.051915897074371,8.052804771860906,8.05367655290137,8.054531728588541,8.05537076888528,8.056194126185735,8.057002236128707,8.057795518366252,8.058574377290345,8.059339202720281,8.060090370553228,8.060828243380262,8.061553171069967,8.062265491321577,8.062965530189528,8.063653602581097,8.064330012728737,8.064995054638594,8.06564901251662
4.358742051101484,4.7821780718499864,5.27876349145412,5.7260488582241695,6.094003789459549,6.386943974669783,6.6184602312254945,6.802375134753656,6.950123283040612,7.070462065329666,7.169891196221924,7.253187274857319,7.323866318231676,7.384537387887313,7.437159014319686,7.48322091876464,7.5238718452388795,7.560009620983496,7.592345042281441,7.621447648026088,7.647778902375109,7.671716551954883,7.693572731951507,7.713607592765284,7.732039677750952,7.74905391587477,7.764807842669534,7.779436490143807,7.79305626589906,7.8057680568365875,7.817659732333696,7.828808178158668,7.839280960621049,7.849137697065497,7.858431191431543,7.86720838055688,7.875511127027617,7.883376886842369,7.890839274359092,7.897928542500053,7.90467199268295,7.911094326190486,7.917217946511633,7.923063220454549,7.928648704444445,7.933991341304347,7.9391066319148935,7.944008785416666,7.948710851020408,7.953224834,7.957561798039217,7.961731955769231,7.965744749056605,7.969608920370371,7.973332576363637,7.976923244642856,7.980387924561403,7.98373313275862,7.986964944067796,7.990089028333332,7.993110683606557,7.996034866129033,7.998866217460318,8.0016090890625,8.004267564615386,8.00684548030303,8.009346443283581,8.01177384852941,8.014130894202898,8.016420595714285,8.018645798591548,8.020809190277776,8.022913310958906,8.024960563513513,8.026953222666668,8.028893443421051,8.03078326883117,8.032624637179488,8.034419388607594,8.036169271250001,8.03787594691358,8.039540996341465,8.041165924096385,8.042752163095239,8.044301078823528,8.045813973255813,8.047292088505747,8.048736610227273,8.050148670786516,8.051529352222222,8.05287968901099,8.054200670652174,8.055493244086021,8.056758315957447,8.057996754736841,8.059209392708334,8.060397027835052,8.061560425510205,8.06270032020202,8.063817417,8.064912393069308,8.065985899019607,8.067038560194176,8.068070977884615,8.069083730476189,8.070077374528301,8.071052445794393,8.072009460185186,8.072948914678898,8.073871288181818,8.074777042342342,8.075666622321428,8.076540457522123,8.0773989622807,8.078242536521739,8.07907156637931,8.079886424786325,8.0806874720339,8.081475056302521,8.082249514166667
4.075306813837085,4.539210593262,5.074752100042048,5.560436413376399,5.966504024193732,6.294946073553369,6.557936451808861,6.7689486825704215,6.939690176846464,7.079448453626358,7.195303002508537,7.292563722410197,7.375200002780292,7.44619125244254,7.5077926146411995,7.561729466179991,7.609337608155038,7.65166386780938,7.689538454337023,7.723627332980547,7.754470474783247,7.782510081360197,7.808111642962138,7.831579826421202,7.853170595264066,7.8731005545391035,7.891554229359844,7.908689788691675,7.924643587253832,7.939533800156565,7.95346335458982,7.966522312071477,7.978789817678561,7.990335705352838,8.00122182803782,8.011503166138887,8.02122875623903,8.030442473178137,8.03918369181367,8.047487849517898,8.055386926358722,8.06290985668342,8.070082883272132,8.076929863197746,8.083472532904453,8.089730738710875,8.095722637887235,8.101464874597918,8.1069727343,8.112260279614,8.117340470209804,8.122225268859614,8.126925735484907,8.131452110753703,8.13581389055818,8.1400198925125,8.144078315450876,8.1479967927706909,8.151782440350846,8.155441899678333,8.158981376732786,8.162406677108063,8.165723237788889,8.168936155948439,8.172050215087692,8.175069908798486,8.177999462398509,8.180842852657353,8.183603825807248,8.186285914010002,8.188892450432395,8.191426583065278,8.19389128740685,8.196289378117568,8.198623519742666,8.200896236588157,8.203109921827272,8.20526684590641,8.207369164312658,8.209418924758749,8.211418073835803,8.213368463179268,8.215271855189156,8.217129928341667,8.218944282125882,8.220716441636045,8.222447861847126,8.224139931598863,8.225793977311236,8.227411266452222,8.228993010776923,8.230540369355433,8.232054451405377,8.233536318943617,8.234986989270526,8.236407437298958,8.237798597739175,8.23916136715,8.240496605865655,8.241805139807,8.243087762185148,8.2443452351049,8.245578291074757,8.24678763442981,8.247973942673331,8.249137867742451,8.250280037202804,8.251401055376851,8.252501504410091,8.25358194527909,8.254642918745045,8.255684946256249,8.256708530802653,8.257714157725438,8.258702295484348,8.259673396385343,8.26062789727094,8.261566220175423,8.262488772947059,8.263395949839168
4.038229083752414,4.41112650677689,4.888306369581863,5.3418195577066365,5.733175783905596,6.057327613858089,6.321613855107607,6.536550007653454,6.712185349354269,6.856951368299626,6.977529522326579,7.07907686893634,7.16553257450063,7.2399016405338905,7.304486070317086,7.361062571706909,7.411015302137931,7.45543372504199,7.495184444050289,7.530964010076169,7.563337936751255,7.592769737563279,7.619642725039003,7.644276530951132,7.666939748013943,7.687859697791771,7.70723004985741,7.72521681926785,7.74196312869403,7.757593020883288,7.772214534604961,7.7859222045448595,7.79879910701706,7.8109185448389615,7.822345443455909,7.833137514420821,7.843346230222563,7.853017645204533,7.862193090193292,7.870909762935508,7.879201232130748,7.887097869460252,7.894627221332915,7.901814329938812,7.9086820114956415,7.9152510982022175,7.921540649304276,7.9275681357770935,7.933349602393882,7.938899810346003,7.944232363084315,7.949359817640385,7.954293783345284,7.959045009579629,7.96362346395091,7.968038402094643,7.9722984301280695,7.976411560643104,7.980385263005085,7.984226508621666,7.987941811759017,7.9915372664080655,7.995018579639683,7.998391101832813,8.001659854112308,8.004829553292424,8.007904634586566,8.010889272313236,8.013787398801448,8.016602721675715,8.01933873968028,8.021998757184722,8.02458589749726,8.027103115098647,8.029553206897333,8.031938822596052,8.03426247425065,8.03652654509359,8.038733297687342,8.04088488146625,8.042983339719754,8.045030616064633,8.0470285604494,8.048978934729762,8.050883417850589,8.05274361066628,8.054561040428737,8.05633716496932,8.058073376598877,8.059771005747779,8.061431324365936,8.063055549101087,8.064644844272044,8.06620032465213,8.067723058076842,8.069214067888542,8.070674335229898,8.07210480119694,8.073506368861617,8.074879905172999,8.076226242745543,8.077546181542157,8.078840490459225,8.080109908820193,8.08135514778381,8.082576891672641,8.083775799227103,8.084952504789817,8.086107619424771,8.087241731975453,8.088355410065766,8.089449201047321,8.09052363289646,8.091579215064035,8.092616439280869,8.093635780321552,8.09463769672906,8.095622631502543,8.09659101275042,8.097543254310834
