n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,n_39,n_40,n_41,n_42,n_43,n_44,n_45,n_46,n_47,n_48,n_49,n_50,n_51,n_52,n_53,n_54,n_55,n_56,n_57,n_58,n_59,n_60,n_61,n_62,n_63,n_64,n_65,n_66,n_67,n_68,n_69,n_70,n_71,n_72,n_73,n_74,n_75,n_76,n_77,n_78,n_79,n_80,n_81,n_82,n_83,n_84,n_85,n_86,n_87,n_88,n_89,n_90,n_91,n_92,n_93,n_94,n_95,n_96,n_97,n_98,n_99,n_100,n_101,n_102,n_103,n_104,n_105,n_106,n_107,n_108,n_109,n_110,n_111,n_112,n_113,n_114,n_115,n_116,n_117,n_118,n_119,n_120
3.964762158686483,4.479667899685342,4.842074695458237,5.09969645237309,5.2853164209438654,5.421519706809697,5.523898841179141,5.603233539167393,5.6669788949368,5.720285628727639,5.766702466215448,5.808661720354644,5.847816385507043,5.885275087433973,5.921766455649712,5.957754509186641,5.99351988799175,6.0292171649950825,6.064915334278496,6.100626417463738,6.136325647035654,6.171965658711047,6.207486411126105,6.242822052351713,6.2779056025411855,6.312672074901178,6.347060481944552,6.381015049118604,6.41448586850409,6.44742916098436,6.479807268843486,6.511588467076987,6.542746657194728,6.573260989412624,6.603115446048697,6.632298409356186,6.660802230002156,6.68862280725416,6.71575918817507,6.742213190385553,6.767989050968973,6.793093102669219,6.817533477523038,6.841319837367256,6.8644631301878345,6.886975370971994,6.908869445542093,6.930158935756876,6.950857964437138,6.970981058389958,6.990543027954244,7.009558861560178,7.0280436338781715,7.046012426223698,7.063480257978382,7.080462027882223,7.096972464144493,7.113026082410273,7.1286371507047885,7.143819660558072,7.158587303587688,7.172953452887116,7.186931148632048,7.200533087376336,7.213771614563784,7.226658719831842,7.239206034728564,7.251424832505417,7.263326029685822,7.2749201891430655,7.2862175244516685,7.297227905303709,7.3079608638062385,7.318425601498049,7.328630996943874,7.338585613781832,7.348297709115728,7.357775242157992,7.367025883041557,7.376057021730202,7.384875776966765,7.393489005207441,7.401903309498167,7.410125048255931,7.4181603439239145,7.426015091474718,7.433694966740545,7.441205434553349,7.448551756681513,7.45573899955274,7.4627720417555254,7.469655581313941,7.4763941427324765,7.482992083809368,7.489453602218416,7.49578274186044,7.5019833989866616,7.508059328097144,7.51401414761818,7.519851345363097,7.525574283781459,7.531186205001992,7.536690235674902,7.5420893916194425,7.547386582282727,7.5525846150159355,7.557686199174042,7.562693950045257,7.56761039261629,7.572437965179543,7.5771790227882025,7.581835840565139,7.586410616871361,7.590905476339671,7.595322472779008,7.5996635919548146,7.6039307542505865,7.6081258172156385,7.612250578003906,7.616306775708484
4.07225773532539,4.514398670837416,4.826816587232751,5.0504110958175366,5.21305126859857,5.333795461798051,5.425718637370913,5.497814720936308,5.556282241716861,5.605397137775663,5.648108046669911,5.6864442246473,5.721796376365819,5.755110873450677,5.787024659902899,5.817959337191719,5.848187016056714,5.877876544252382,5.90712602842739,5.93598573937691,5.964474240875132,5.992589725044911,6.020317945837262,6.047637732073915,6.074524775573963,6.1009541894658295,6.12690219055349,6.152347159558312,6.177270261822757,6.2016557600936455,6.225491114367536,6.248766937337238,6.271476854819997,6.2936173066237755,6.31518731316295,6.336188225730877,6.356623472929646,6.376498311810303,6.395819589401043,6.414595518213118,6.4328354678075605,6.450549773427942,6.4677495619433065,6.484446594818001,6.500653127469862,6.516381784149207,6.531645447334333,6.546457160569056,6.5608300436454865,6.574777219046378,6.588311748595527,6.601446579314151,6.614194497539918,6.626568090429383,6.638579714030815,6.6502414671805425,6.66156517054067,6.672562350158006,6.683244224982974,6.693621697842357,6.7037053494111305,6.713505434776059,6.723031882227292,6.732294293954073,6.741301948356974,6.750063803721924,6.758588503031178,6.766884379713092,6.774959464156808,6.7828214908395195,6.790477905933444,6.797935875276831,6.805202292608846,6.812283787981782,6.819186736276297,6.825917265756069,6.832481266607834,6.838884399421136,6.8451321035695,6.851229605461254,6.857181926633849,6.8629938916705795,6.8686701359227955,6.874215113024609,6.879633102190221,6.884928215286877,6.890104403678829,6.895165464839785,6.900115048733049,6.904956663960043,6.909693683679198,6.91432935129816,6.918866785943212,6.923308987710429,6.927658842703692,6.931919127865147,6.936092515603964,6.940181578229575,6.944188792195713,6.948116542161659,6.951967124877201,6.955742752897767,6.959445558136203,6.963077595257543,6.966640844923082,6.970137216889874,6.9735685529717175,6.976936629867458,6.980243161862335,6.983489803407896,6.98667815158583,6.989809748460878,6.992886083327846,6.995908594857454,6.998878673145706,7.0017976616711595,7.004666859164386,7.0074875213936565,7.010260862870797,7.012988058480912
4.162209405105896,4.482008458168031,4.711034811523015,4.877484041025716,5.000876057599823,5.094729552954496,5.168402833367041,5.228364440685299,5.27907264133352,5.3235858468185615,5.363987387398899,5.40168181057057,5.437601999761741,5.472354203131815,5.506319705927512,5.539726142250766,5.572697490842964,5.6052890699785625,5.637511954972226,5.669349926582644,5.70077114104259,5.731736070135789,5.762202808568333,5.792130527889452,5.821481631342693,5.850223004494273,5.878326642962168,5.905769857562546,5.932535199244788,5.958610204653483,5.983987033343144,6.008662046254817,6.032635359679439,6.055910397894436,6.07849345975912,6.100393308923162,6.121620793314492,6.142188496775578,6.162110423781902,6.181401716864576,6.200078405496416,6.21815718466072,6.235655221011293,6.252589984383717,6.268979102381611,6.284840235801946,6.300190972754113,6.31504873944953,6.329430725778569,6.343353823940001,6.356834578538014,6.369889146708949,6.382533266980865,6.394782235702142,6.406650889999433,6.418153596339923,6.42930424387783,6.440116241860672,6.450602520457439,6.460775534448727,6.470647269288968,6.480229249113442,6.489532546318626,6.498567792393956,6.507345189727107,6.515874524143737,6.524165177976882,6.5322261434914,6.540066036515249,6.547693110152645,6.55511526847428,6.562340080097533,6.569374791584818,6.576226340601623,6.582901368787172,6.589406234300629,6.59574702401421,6.601929565331899,6.607959437618605,6.613841983229935,6.619582318137153,6.625185342145643,6.630655748708293,6.635998034337822,6.641216507624146,6.646315297864551,6.651298363315896,6.656169499079008,6.660932344626324,6.665590390984372,6.670146987583106,6.674605348784348,6.678968560101705,6.68323958412437,6.687421266157046,6.691516339588204,6.695527430998531,6.699457065021272,6.703307668965787,6.70708157721537,6.710781035409972,6.714408204424141,6.717965164150086,6.721453917095406,6.7248763918046235,6.728234446113296,6.731529870243067,6.734764389745682,6.7379396683036115,6.741057310394543,6.74411886382671,6.747125822151634,6.750079626960581,6.752981670070661,6.75583329560629,6.758635801981336,6.761390443787102,6.764098433590937,6.766760943650111,6.769379107545253
4.42521013094673,4.698235307987119,4.873024660820978,5.0121909791203665,5.128204196995054,5.225224511054303,5.306278206481912,5.374100758786972,5.431091511117221,5.479263783152629,5.520260771993004,5.555404306963941,5.5857510679815165,5.612144650537159,5.635259650773675,5.655637414019695,5.673714386601846,5.689844347101436,5.704315746349465,5.717365210119025,5.7291880607242245,5.739946533707686,5.749776215368614,5.758791106437028,5.7670876229948815,5.774747773043929,5.781841691438693,5.788429673426098,5.794563814682407,5.800289341099193,5.805645692783216,5.810667412381634,5.8153848768489,5.819824903322784,5.824011253262111,5.827965053955954,5.831705152595223,5.835248415039386,5.838609979014198,5.841803469589669,5.84484118329571,5.847734246048168,5.850492749112906,5.853125866578229,5.855641957196614,5.858048652964008,5.860352936405218,5.862561208207891,5.864679346580939,5.866712759493994,5.868666430773738,5.870544960883199,5.872352603085704,5.874093295591371,5.875770690197256,5.877388177859236,5.878948911572342,5.880455826884317,5.881911660323148,5.883318965981903,5.884680130472327,5.885997386431338,5.887272824741213,5.888508405604141,5.889705968594522,5.890867241797419,5.891993850128657,5.893087322920787,5.894149100849408,5.895180542265802,5.896182928994424,5.897157471647262,5.898105314501396,5.899027539981098,5.899925172781344,5.900799183665797,5.901650492968837,5.902479973828209,5.903288455172155,5.904076724482501,5.904845530353087,5.9055955848609765,5.906327565766266,5.907042118554763,5.9077398583364715,5.908421371611627,5.9090872179149425,5.909737931347728,5.910374022006741,5.910995977317778,5.911604263281319,5.912199325636957,5.912781590952688,5.913351467644682,5.913909346932632,5.914455603735417,5.91499059751134,5.915514673046939,5.91602816119798,5.916531379586,5.917024633253466,5.917508215280392,5.917982407365049,5.918447480371155,5.91890369484381,5.919351301496227,5.919790541669159,5.920221647764815,5.920644843656881,5.921060345078182,5.921468359987387,5.921869088916071,5.922262725297346,5.922649455777194,5.923029460509565,5.923402913436207,5.923769982552137,5.924130830157628,5.924485613097479,5.9248344829883335
4.83746163885846,5.01853200178598,5.095428871250258,5.149042624159464,5.1955564176301445,5.23775589846913,5.275852869307247,5.309816359569343,5.339787155342695,5.366068092754945,5.389047434693594,5.409135737331805,5.4267269262917965,5.44217849123814,5.455804019984217,5.467872821336289,5.4786131729520955,5.488217101555753,5.496845519349101,5.504633109647513,5.511692689577589,5.518118964335466,5.5239916846604515,5.529378264365336,5.534335931065416,5.538913484404509,5.543152730010649,5.547089648526381,5.550755349668974,5.554176852511287,5.557377725498243,5.560378613239456,5.563197671785175,5.565850929765834,5.568352589300235,5.570715277803014,5.572950259615446,5.575067614631218,5.577076389697369,5.578984727464748,5.580799976481731,5.5825287856221975,5.584177185376,5.585750658078328,5.587254198790017,5.588692368246202,5.590069339051292,5.59138893610313,5.592654672069481,5.593869778608678,5.59503723391813,5.596159787104659,5.5972399797962735,5.598280165352818,5.599282525981053,5.600249088016051,5.601181735594068,5.6020822229110125,5.602952185234309,5.603793148813586,5.604606539816548,5.605393692400095,5.606155856012757,5.606894202012537,5.607609829673869,5.608303771648498,5.608976998937322,5.609630425423535,5.610264912011598,5.610881270411431,5.611480266602817,5.612062624011112,5.612629026421918,5.61318012065946,5.613716519050667,5.6142388016947375,5.614747518555845,5.615243191394871,5.61572631555443,5.61619736161,5.616656776898765,5.617104986936585,5.617542396732531,5.617969392009523,5.618386340338823,5.618793592195349,5.61919148194023,5.6195803287363635,5.619960437402248,5.6203320992088885,5.620695592624176,5.621051184008696,5.621399128266667,5.6217396694553194,5.622073041355789,5.622399468008333,5.622719164214434,5.623032336008163,5.62333918109899,5.6236398892879995,5.623934642859406,5.62422361694902,5.624506979891263,5.624784893546154,5.625057513607619,5.625324989894341,5.6255874666242995,5.625845082674075,5.626097971823853,5.626346262989091,5.62659008043964,5.626829544007143,5.627064769281416,5.627295867796492,5.627522947206956,5.627746111455172,5.627965460929914,5.628181092616949,5.6283931002420164,5.628601574406667
4.866213383742203,4.988176179298855,5.034859728585584,5.075888274502606,5.1207573895564655,5.167837076359278,5.214431970070453,5.258642151255946,5.299444221256682,5.336445667367789,5.369644660833636,5.399255723098647,5.425596576110112,5.44901967561545,5.469873451235742,5.488482246905837,5.505137530201987,5.5200955851462625,5.533578710660173,5.545778128649884,5.556857555776773,5.5669568575156125,5.576195483939931,5.584675551769307,5.592484530755974,5.599697542658642,5.606379305533638,5.612585765794142,5.618365462088625,5.623760662486636,5.6288083120327865,5.633540822726242,5.637986733086382,5.642171260003975,5.646116761678173,5.6498431271202065,5.653368104927247,5.656707581732551,5.659875818852398,5.662885654110261,5.665748674564503,5.668475364845943,5.671075234982504,5.673556930913539,5.675928330346986,5.678196626164037,5.6803683992092155,5.682449682002937,5.6844460146663,5.686362494143805,5.688203817640931,5.6899743210533975,5.691678013048369,5.69331860536041,5.694899539783421,5.696424012271252,5.697894994501813,5.699315253210691,5.700687367558811,5.702013744763441,5.703296634191801,5.704538140090811,5.705740233104523,5.706904760711802,5.708033456700554,5.709127949780658,5.710189771425601,5.711220363022205,5.712221082398644,5.713193209792918,5.71413795331694,5.715056453965302,5.715949790212345,5.716818982236496,5.717664995806673,5.718488745861846,5.719291099811691,5.720072880583335,5.72083486943671,5.7215778085687505,5.722302403524692,5.723009325432927,5.723699213078313,5.724372674827381,5.7250302904176475,5.725672612622093,5.72630016879885,5.726913462335227,5.727512973994382,5.728099163172222,5.728672469071428,5.729233311798913,5.7297820933924735,5.730319198781915,5.7308449966894734,5.731359840473957,5.73186406892268,5.7323580069948985,5.732841966520202,5.733316246855,5.7337811355,5.734236908681372,5.7346838318980575,5.735122160437499,5.7355521398619045,5.73597400646698,5.736387987714953,5.736794302643518,5.737193162252294,5.7375847698681826,5.737969321490991,5.738347006120535,5.738718006066372,5.739082497241228,5.73944064943913,5.739792626599138,5.740138587055555,5.740478683775423,5.740813064584034,5.741141872379166
5.0461959354215455,5.1644987476449415,5.193172013612188,5.208037237590316,5.223634226947875,5.241984550248018,5.262403082874377,5.28380991912711,5.3052930164701815,5.326205242181256,5.3461351940998165,5.364851509592249,5.382250342800929,5.398313427104723,5.413076972720936,5.426609592462781,5.438997146869657,5.45033265860741,5.460709832456832,5.470219081372415,5.4789452579918505,5.48696652111515,5.494353937599227,5.501171544149601,5.507476682001023,5.513320479789487,5.518748403256231,5.523800820208006,5.528513549364241,5.53291837522699,5.537043519970358,5.540914069019767,5.544552350502089,5.547978270809261,5.551209609624685,5.55426227825212,5.557150545191102,5.559887232775525,5.562483888435192,5.564950933820014,5.567297794685309,5.569533014099709,5.571664351219323,5.57369886758064,5.575643002603281,5.577502639762387,5.5792831646878955,5.5809895162719485,5.582626231713593,5.584197486299092,5.585707128603853,5.5871587117058805,5.588555520918418,5.589900598479217,5.5911967655737795,5.592446642018679,5.593652663887099,5.594817099321231,5.595942062743954,5.597029527654602,5.598081338169901,5.599099219450778,5.600084787138062,5.601039555905004,5.601964947221328,5.602862296412185,5.603732859085475,5.604577816992425,5.605398283378811,5.606195307877705,5.606969880988877,5.607722938185013,5.608455363680517,5.609167993894764,5.60986162063835,5.610536994047804,5.611194825291654,5.611835789068339,5.612460525914412,5.613069644339654,5.613663722804005,5.614243311549876,5.614808934301986,5.615361089845795,5.615900253494514,5.616426878453772,5.616941397092156,5.617444222125144,5.617935747719204,5.618416350522295,5.618886390626427,5.619346212467429,5.619796145666693,5.620236505819168,5.620667595231593,5.621089703614594,5.621503108731966,5.62190807701021,5.622304864111116,5.622693715470003,5.623074866801982,5.623448544578433,5.62381496647573,5.624174341798078,5.624526871876191,5.624872750443397,5.625212163990654,5.625545292101852,5.625872307770643,5.6261933777,5.626508662585586,5.626818317383929,5.627122491566372,5.62742132935965,5.627714969973914,5.628003547818966,5.6282871927094025,5.628566030059323,5.628840181067228,5.629109762891668
5.165900701591931,5.26374362470913,5.311393367881508,5.332607430878163,5.340951178667402,5.343983563316004,5.345753541269107,5.348284699193545,5.352454358724847,5.358510772847846,5.366374463188006,5.375811217201262,5.386529146586346,5.398231137832315,5.410641385871439,5.423517122625246,5.436652111511151,5.4498757626356324,5.463050102318784,5.476065866768598,5.488838419964482,5.5013038619571315,5.5134155008074845,5.525140752184566,5.5364584709605875,5.547356688452783,5.557830714996406,5.567881562990848,5.5775146461244365,5.5867387136271525,5.595564982669708,5.604006436605791,5.61207726120283,5.619792395107563,5.627167174454921,5.634217054732687,5.640957395778039,5.647403298142269,5.653569481060709,5.6594701939514245,5.665119154781624,5.670529509824336,5.67571381031465,5.680684002335291,5.685451426941816,5.690026828100975,5.694420366480887,5.698641637514815,5.702699692475459,5.706603061554945,5.7103597781570725,5.713977403780788,5.717463053013984,5.720823418270411,5.724064793994163,5.727193100129924,5.730213904716108,5.733132445504849,5.7359536505497495,5.738682157731243,5.741322333211713,5.743878288829667,5.746353898455013,5.748752813336879,5.751078476482096,5.753334136106867,5.7555228582069695,5.757647538293262,5.759710912339606,5.761715566989967,5.763663949070481,5.765558374450843,5.767401036297614,5.769194012760252,5.7709392741284535,5.7726386894974455,5.774294032975611,5.7759069894668364,5.777479160057818,5.779012067038623,5.780507158582897,5.781965813112231,5.78338934336753,5.784779000208557,5.78613597616131,5.787461408731433,5.788756383500532,5.7900219370210175,5.791259059523909,5.792468697452975,5.79365175583756,5.794809100515543,5.795941560216975,5.797049928518187,5.798134965675393,5.7991974003461575,5.800237931206442,5.801257228470395,5.802255935319514,5.803234669247273,5.80419402332494,5.805134567393785,5.8060568491885975,5.806961395397002,5.807848712658753,5.808719288508931,5.809573592268593,5.810412075886273,5.8112351747334134,5.812043308356641,5.81283688118955,5.813616283226523,5.814381890660904,5.815134066489683,5.81587316108674,5.816599512746506,5.817313448199813,5.81801528310357,5.818705322505795,5.819383861287442
5.061497398755401,5.101964667120637,5.134862819911751,5.162865355445768,5.187959882314356,5.2115950464179495,5.234799014236956,5.258274684001342,5.2824758948085995,5.307668154690887,5.333976786895068,5.361424878073574,5.389962984997177,5.419492202994194,5.449881907224152,5.4809832367714675,5.512639192766396,5.5446920581053325,5.5769887118451384,5.609384300982902,5.641744641936392,5.673947650144772,5.705884035931644,5.7374574557192775,5.768584267867434,5.799193010185239,5.8292236901667485,5.858626958101201,5.887363216475862,5.915401705753125,5.942719596030513,5.969301105760739,5.995136662190438,6.020222113119421,6.0445579956993845,6.0681488650472275,6.091002683251817,6.113130267748552,6.134544796897118,6.155261369822554,6.1752966170854755,6.194668358468698,6.2133953040512075,6.231496794744862,6.248992578561298,6.265902619029747,6.282246932381173,6.298045450334142,6.313317905551409,6.3280837370743575,6.342362013278436,6.356171370121842,6.369529962678639,6.382455428153952,6.39496485877173,6.4070747831039085,6.418801154573691,6.430159346015268,6.441164149307983,6.45182977922545,6.462169880750323,6.472197539203904,6.481925292627667,6.491365145931724,6.500528586394375,6.509426600157779,6.51806968941826,6.526467890056775,6.53463078949604,6.542567544606458,6.550286899514088,6.5577972031905745,6.565106426728177,6.5722221802228304,6.579151729205158,6.585902010573845,6.592479647998045,6.598890966765861,6.605142008064567,6.611238542685599,6.617186084153194,6.622989901280578,6.628655030161522,6.634186285608311,6.639588272049636,6.644865393903936,6.650021865445071,6.655061720178278,6.6599888197450845,6.664806862376221,6.669519390911698,6.67412980040729,6.678641345346362,6.683057146475732,6.687380197283812,6.69161337013878,6.6957594221039765,6.699821000447123,6.703800647859325,6.707700807399175,6.7115238271766335,6.7152719647906505,6.7189473915339315,6.722552196377486,6.726088389747092,6.7295579071030875,6.732962612334371,6.73630430097691,6.73958470326645,6.74280548703469,6.745968260457545,6.749074574663784,6.7521259262117415,6.75512375944142,6.7580694687089204,6.76096440050964,6.763809855496422,6.766607090398392,6.76935731984594,6.772061718106978
5.126317677187244,5.120187455587383,5.1260014424972695,5.142994961722992,5.165648434300565,5.191278750242701,5.218623288479938,5.247028700344868,5.276121611966569,5.305670171682228,5.335520367208673,5.365564081005118,5.395721856173203,5.425933025023257,5.456149766095991,5.486333371967762,5.516451818388657,5.546478129458839,5.576389246268087,5.6061652234214305,5.635788644731013,5.665244188862226,5.694518299771638,5.72359893180623,5.752475348954831,5.781137964034629,5.809578207790905,5.837788420735898,5.865761762517208,5.8934921349821225,5.920974116081178,5.948202902457141,5.9751742590772325,6.0018844746430196,6.028330321792801,6.0545090213218185,6.080418209805434,6.106055910132701,6.131420504552142,6.156510709905001,6.181325554778883,6.205864358360219,6.230126710800273,6.254112454938453,6.277821669250203,6.301254651905821,6.3244119058421475,6.347294124761981,6.36990217998671,6.392237108096574,6.414300099300425,6.436092486483192,6.457615734884622,6.478871432367446,6.499861280237097,6.520587084578502,6.541050748078462,6.561254262304737,6.581199700415255,6.600889210272859,6.620325007942862,6.639509371552254,6.658444635490868,6.6771331849361015,6.695577450684013,6.713779904270637,6.7317430533683735,6.7494694374432145,6.766961623659369,6.784222203018633,6.801253786722547,6.818059002746052,6.834640492611939,6.85100090835596,6.867142909673046,6.883069161235474,6.898782330174393,6.914285083716508,6.929580086968094,6.944670000838997,6.959557480099545,6.974245171563686,6.9887357123920015,7.003031728508516,7.0171358331255576,7.031050625371168,7.04477868901383,7.058322591279549,7.071684881756543,7.08486809138301,7.097874731513694,7.110707293061133,7.123368245707691,7.135860037184639,7.148185092614773,7.160345813915147,7.172344579256735,7.184183742577935,7.195865633149008,7.207392555184653,7.218766787502079,7.229990583222035,7.2410661695103995,7.251995747358044,7.262781491396754,7.273425549749183,7.283930043910806,7.2942970686620265,7.304528692008617,7.31462695514881,7.324593872465394,7.334431431541273,7.344141593197042,7.353726291549141,7.363187434087284,7.372526901769909,7.381746549136399,7.390848204435002,7.3998336697652976,7.408704721234229
