Data Source in SDW: null
,ICP.M.IT.N.XEF000.4.ANR
,"Italy - HICP - All-items excluding energy and food, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Percentage change ]
,,obs. status,obs. comment
2023Jun,4.8,Estimated value (E),
2023May,5.1,Normal value (A),
2023Apr,5.3,Normal value (A),
2023Mar,5.3,Normal value (A),
2023Feb,5.5,Normal value (A),
2023Jan,5.2,Normal value (A),
2022Dec,4.8,Normal value (A),
2022Nov,4.7,Normal value (A),
2022Oct,4.6,Normal value (A),
2022Sep,4.4,Normal value (A),
2022Aug,4.1,Normal value (A),
2022Jul,3.4,Normal value (A),
2022Jun,3.4,Normal value (A),
2022May,3.0,Normal value (A),
2022Apr,2.2,Normal value (A),
2022Mar,1.8,Normal value (A),
2022Feb,1.7,Normal value (A),
2022Jan,1.3,Normal value (A),
2021Dec,1.5,Normal value (A),
2021Nov,1.3,Normal value (A),
2021Oct,1.2,Normal value (A),
2021Sep,1.4,Normal value (A),
2021Aug,0.8,Normal value (A),
2021Jul,-0.9,Normal value (A),
2021Jun,0.3,Normal value (A),
2021May,0.2,Normal value (A),
2021Apr,0.3,Low reliability (U),
2021Mar,0.7,Normal value (A),
2021Feb,1.5,Normal value (A),
2021Jan,1.3,Normal value (A),
2020Dec,0.4,Normal value (A),
2020Nov,0.3,Normal value (A),
2020Oct,-0.1,Normal value (A),
2020Sep,-0.5,Normal value (A),
2020Aug,0.3,Normal value (A),
2020Jul,2.1,Normal value (A),
2020Jun,0.5,Normal value (A),
2020May,0.6,Normal value (A),
2020Apr,0.6,Low reliability (U),
2020Mar,0.6,Normal value (A),
2020Feb,0.5,Normal value (A),
2020Jan,0.5,Normal value (A),
2019Dec,0.6,Normal value (A),
2019Nov,0.7,Normal value (A),
2019Oct,0.7,Normal value (A),
2019Sep,0.5,Normal value (A),
2019Aug,0.6,Normal value (A),
2019Jul,0.4,Normal value (A),
2019Jun,0.4,Normal value (A),
2019May,0.5,Normal value (A),
2019Apr,0.7,Normal value (A),
2019Mar,0.3,Normal value (A),
2019Feb,0.4,Normal value (A),
2019Jan,0.6,Normal value (A),
2018Dec,0.5,Normal value (A),
2018Nov,0.7,Normal value (A),
2018Oct,0.7,Normal value (A),
2018Sep,0.5,Normal value (A),
2018Aug,0.6,Normal value (A),
2018Jul,0.9,Normal value (A),
2018Jun,0.7,Normal value (A),
2018May,0.6,Normal value (A),
2018Apr,0.2,Normal value (A),
2018Mar,0.7,Normal value (A),
2018Feb,0.5,Normal value (A),
2018Jan,0.7,Normal value (A),
2017Dec,0.5,Normal value (A),
2017Nov,0.4,Normal value (A),
2017Oct,0.5,Normal value (A),
2017Sep,1.1,Normal value (A),
2017Aug,1.2,Normal value (A),
2017Jul,0.9,Normal value (A),
2017Jun,1.0,Normal value (A),
2017May,0.9,Normal value (A),
2017Apr,1.3,Normal value (A),
2017Mar,0.6,Normal value (A),
