Data Source in SDW: null
,ICP.M.ES.N.XEF000.4.ANR
,"Spain - HICP - All-items excluding energy and food, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Percentage change ]
,,obs. status,obs. comment
2023May,3.8,Normal value (A),
2023Apr,4.1,Normal value (A),
2023Mar,4.6,Normal value (A),
2023Feb,5.2,Normal value (A),
2023Jan,5.1,Normal value (A),
2022Dec,4.1,Normal value (A),
2022Nov,4.0,Normal value (A),
2022Oct,4.4,Normal value (A),
2022Sep,4.8,Normal value (A),
2022Aug,4.9,Normal value (A),
2022Jul,4.6,Normal value (A),
2022Jun,3.9,Normal value (A),
2022May,3.4,Normal value (A),
2022Apr,3.4,Normal value (A),
2022Mar,3.0,Normal value (A),
2022Feb,2.7,Normal value (A),
2022Jan,2.2,Normal value (A),
2021Dec,1.9,Normal value (A),
2021Nov,1.6,Normal value (A),
2021Oct,1.4,Normal value (A),
2021Sep,1.0,Normal value (A),
2021Aug,0.6,Normal value (A),
2021Jul,0.5,Normal value (A),
2021Jun,-0.1,Normal value (A),
2021May,-0.1,Normal value (A),
2021Apr,-0.3,Low reliability (U),
2021Mar,0.0,Normal value (A),
2021Feb,0.0,Normal value (A),
2021Jan,0.4,Normal value (A),
2020Dec,-0.1,Normal value (A),
2020Nov,0.0,Normal value (A),
2020Oct,-0.1,Normal value (A),
2020Sep,0.0,Normal value (A),
2020Aug,0.1,Normal value (A),
2020Jul,0.2,Normal value (A),
2020Jun,0.8,Normal value (A),
2020May,0.9,Normal value (A),
2020Apr,0.9,Low reliability (U),
2020Mar,1.1,Normal value (A),
2020Feb,1.3,Normal value (A),
2020Jan,1.1,Normal value (A),
2019Dec,1.1,Normal value (A),
2019Nov,1.1,Normal value (A),
2019Oct,1.1,Normal value (A),
2019Sep,1.2,Normal value (A),
2019Aug,1.2,Normal value (A),
2019Jul,1.1,Normal value (A),
2019Jun,1.2,Normal value (A),
2019May,1.0,Normal value (A),
2019Apr,1.3,Normal value (A),
2019Mar,0.7,Normal value (A),
2019Feb,0.7,Normal value (A),
2019Jan,1.0,Normal value (A),
2018Dec,1.1,Normal value (A),
2018Nov,1.0,Normal value (A),
2018Oct,1.1,Normal value (A),
2018Sep,0.9,Normal value (A),
2018Aug,0.9,Normal value (A),
2018Jul,1.1,Normal value (A),
2018Jun,1.0,Normal value (A),
2018May,1.2,Normal value (A),
2018Apr,0.8,Normal value (A),
2018Mar,1.2,Normal value (A),
2018Feb,1.3,Normal value (A),
2018Jan,1.0,Normal value (A),
2017Dec,0.9,Normal value (A),
2017Nov,0.9,Normal value (A),
2017Oct,1.1,Normal value (A),
2017Sep,1.3,Normal value (A),
2017Aug,1.7,Normal value (A),
2017Jul,1.7,Normal value (A),
2017Jun,1.4,Normal value (A),
2017May,1.1,Normal value (A),
2017Apr,1.4,Normal value (A),
2017Mar,0.8,Normal value (A),
2017Feb,1.3,Normal value (A),
2017Jan,1.2,Normal value (A),
2016Dec,0.9,Normal value (A),
2016Nov,0.7,Normal value (A),
2016Oct,0.6,Normal value (A),
2016Sep,0.7,Normal value (A),
2016Aug,0.7,Normal value (A),
2016Jul,0.6,Normal value (A),
2016Jun,0.5,Normal value (A),
2016May,0.5,Normal value (A),
2016Apr,0.5,Normal value (A),
2016Mar,0.8,Normal value (A),
2016Feb,0.8,Normal value (A),
2016Jan,0.7,Normal value (A),
2015Dec,0.6,Normal value (A),
2015Nov,0.7,Normal value (A),
2015Oct,0.6,Normal value (A),
2015Sep,0.4,Normal value (A),
2015Aug,0.4,Normal value (A),
2015Jul,0.5,Normal value (A),
2015Jun,0.4,Normal value (A),
2015May,0.3,Normal value (A),
2015Apr,0.0,Normal value (A),
2015Mar,0.0,Normal value (A),
2015Feb,0.0,Normal value (A),
2015Jan,0.0,Normal value (A),
2014Dec,-0.1,Normal value (A),
2014Nov,-0.2,Normal value (A),
2014Oct,-0.2,Normal value (A),
2014Sep,-0.2,Normal value (A),
2014Aug,0.0,Normal value (A),
2014Jul,-0.1,Normal value (A),
2014Jun,-0.1,Normal value (A),
2014May,-0.1,Normal value (A),
2014Apr,0.1,Normal value (A),
2014Mar,-0.3,Normal value (A),
2014Feb,0.0,Normal value (A),
2014Jan,-0.1,Normal value (A),
2013Dec,-0.1,Normal value (A),
2013Nov,0.0,Normal value (A),
2013Oct,-0.1,Normal value (A),
2013Sep,0.5,Normal value (A),
2013Aug,1.4,Normal value (A),
2013Jul,1.5,Normal value (A),
2013Jun,1.9,Normal value (A),
2013May,2.0,Normal value (A),
2013Apr,1.8,Normal value (A),
2013Mar,2.2,Normal value (A),
2013Feb,2.1,Normal value (A),
2013Jan,2.1,Normal value (A),
2012Dec,2.1,Normal value (A),
2012Nov,2.2,Normal value (A),
2012Oct,2.3,Normal value (A),
2012Sep,1.8,Normal value (A),
2012Aug,1.0,Normal value (A),
2012Jul,1.1,Normal value (A),
2012Jun,0.8,Normal value (A),
2012May,0.8,Normal value (A),
2012Apr,0.7,Normal value (A),
2012Mar,0.8,Normal value (A),
2012Feb,0.8,Normal value (A),
2012Jan,0.9,Normal value (A),
2011Dec,1.1,Normal value (A),
2011Nov,1.1,Normal value (A),
2011Oct,1.1,Normal value (A),
2011Sep,0.9,Normal value (A),
2011Aug,1.0,Normal value (A),
2011Jul,1.0,Normal value (A),
2011Jun,1.4,Normal value (A),
2011May,1.4,Normal value (A),
2011Apr,1.5,Normal value (A),
2011Mar,1.2,Normal value (A),
2011Feb,1.2,Normal value (A),
2011Jan,1.1,Normal value (A),
2010Dec,1.0,Normal value (A),
2010Nov,1.1,Normal value (A),
2010Oct,1.4,Normal value (A),
2010Sep,2.2,Normal value (A),
2010Aug,0.6,Normal value (A),
2010Jul,0.5,Normal value (A),
2010Jun,0.9,Normal value (A),
2010May,0.9,Normal value (A),
2010Apr,0.7,Normal value (A),
2010Mar,1.6,Normal value (A),
2010Feb,-0.7,Normal value (A),
2010Jan,-0.6,Normal value (A),Implementation of HICP Regulation No. 33/2009 on the treatment of seasonal products in the Spanish HICP. Also reallocation of rented holiday apartments from COICOP accomodation services (11.2.0) to actual rentals (04.1.1) in the Spanish HICP.  These changes have a distorting impact on the annual rates of change in 2010.  See Box 3 in the April 2011 ECB Monthly Bulletin for details.
2009Dec,0.3,Normal value (A),
2009Nov,0.3,Normal value (A),
2009Oct,0.2,Normal value (A),
2009Sep,0.3,Normal value (A),
2009Aug,0.5,Normal value (A),
2009Jul,0.6,Normal value (A),
2009Jun,0.9,Normal value (A),
2009May,1.1,Normal value (A),
2009Apr,1.5,Normal value (A),
2009Mar,1.3,Normal value (A),
2009Feb,1.6,Normal value (A),
2009Jan,1.9,Normal value (A),
2008Dec,2.3,Normal value (A),
2008Nov,2.5,Normal value (A),
2008Oct,2.6,Normal value (A),
2008Sep,2.6,Normal value (A),
2008Aug,2.5,Normal value (A),
2008Jul,2.5,Normal value (A),
2008Jun,2.3,Normal value (A),
2008May,2.3,Normal value (A),
2008Apr,2.1,Normal value (A),
2008Mar,2.5,Normal value (A),
2008Feb,2.4,Normal value (A),
2008Jan,2.3,Normal value (A),
2007Dec,2.4,Normal value (A),
2007Nov,2.3,Normal value (A),
2007Oct,2.4,Normal value (A),
2007Sep,2.4,Normal value (A),
2007Aug,2.5,Normal value (A),
2007Jul,2.5,Normal value (A),
2007Jun,2.6,Normal value (A),
2007May,2.6,Normal value (A),
2007Apr,2.7,Normal value (A),
2007Mar,2.6,Normal value (A),
2007Feb,2.6,Normal value (A),
2007Jan,2.7,Normal value (A),
2006Dec,2.6,Normal value (A),
2006Nov,2.7,Normal value (A),
2006Oct,2.7,Normal value (A),
2006Sep,2.8,Normal value (A),
2006Aug,2.9,Normal value (A),
2006Jul,3.0,Normal value (A),
2006Jun,2.9,Normal value (A),
2006May,2.9,Normal value (A),
2006Apr,3.0,Normal value (A),
2006Mar,2.8,Normal value (A),
2006Feb,2.9,Normal value (A),
2006Jan,2.8,Normal value (A),
2005Dec,2.7,Normal value (A),
2005Nov,2.6,Normal value (A),
2005Oct,2.6,Normal value (A),
2005Sep,2.5,Normal value (A),
2005Aug,2.4,Normal value (A),
2005Jul,2.5,Normal value (A),
2005Jun,2.4,Normal value (A),
2005May,2.5,Normal value (A),
2005Apr,2.4,Normal value (A),
2005Mar,2.7,Normal value (A),
2005Feb,2.6,Normal value (A),
2005Jan,2.5,Normal value (A),
2004Dec,2.6,Normal value (A),
2004Nov,2.7,Normal value (A),
2004Oct,2.6,Normal value (A),
2004Sep,2.6,Normal value (A),
2004Aug,2.5,Normal value (A),
2004Jul,2.5,Normal value (A),
2004Jun,2.6,Normal value (A),
2004May,2.5,Normal value (A),
2004Apr,2.4,Normal value (A),
2004Mar,2.2,Normal value (A),
2004Feb,2.3,Normal value (A),
2004Jan,2.3,Normal value (A),
2003Dec,2.6,Normal value (A),
2003Nov,2.6,Normal value (A),
2003Oct,2.7,Normal value (A),
2003Sep,2.9,Normal value (A),
2003Aug,3.0,Normal value (A),
2003Jul,3.0,Normal value (A),
2003Jun,3.1,Normal value (A),
2003May,3.1,Normal value (A),
2003Apr,3.4,Normal value (A),
2003Mar,3.0,Normal value (A),
2003Feb,3.2,Normal value (A),
2003Jan,3.1,Normal value (A),
2002Dec,3.7,Normal value (A),
2002Nov,3.7,Normal value (A),
2002Oct,3.8,Normal value (A),
2002Sep,3.5,Normal value (A),
2002Aug,3.7,Normal value (A),
2002Jul,3.6,Normal value (A),
2002Jun,4.0,Normal value (A),
2002May,4.0,Normal value (A),
2002Apr,3.7,Normal value (A),
2002Mar,3.4,Normal value (A),
2002Feb,3.5,Normal value (A),
2002Jan,3.4,Normal value (A),
2001Dec,3.3,Normal value (A),
2001Nov,3.3,Normal value (A),
2001Oct,2.8,Normal value (A),
2001Sep,1.8,Normal value (A),
2001Aug,1.3,Normal value (A),
2001Jul,1.5,Normal value (A),
2001Jun,3.1,Normal value (A),
2001May,3.2,Normal value (A),
2001Apr,3.2,Normal value (A),
2001Mar,2.6,Normal value (A),
2001Feb,2.0,Normal value (A),
2001Jan,2.2,Normal value (A),Introduction of harmonised treatment of price reductions in Spain as of Jan01
2000Dec,3.4,Normal value (A),
2000Nov,3.4,Normal value (A),
2000Oct,3.2,Normal value (A),
2000Sep,3.0,Normal value (A),
2000Aug,3.1,Normal value (A),
2000Jul,2.9,Normal value (A),
2000Jun,2.6,Normal value (A),
2000May,2.6,Normal value (A),
2000Apr,2.5,Normal value (A),
2000Mar,2.3,Normal value (A),
2000Feb,2.3,Normal value (A),
2000Jan,2.2,Normal value (A),
1999Dec,2.1,Normal value (A),
1999Nov,2.1,Normal value (A),
1999Oct,2.1,Normal value (A),
1999Sep,2.3,Normal value (A),
1999Aug,2.2,Normal value (A),
1999Jul,2.4,Normal value (A),
1999Jun,2.4,Normal value (A),
1999May,2.4,Normal value (A),
1999Apr,2.5,Normal value (A),
1999Mar,2.6,Normal value (A),
1999Feb,2.6,Normal value (A),
1999Jan,2.5,Normal value (A),
1998Dec,2.6,Normal value (A),
1998Nov,2.5,Normal value (A),
1998Oct,2.7,Normal value (A),
1998Sep,2.6,Normal value (A),
1998Aug,2.6,Normal value (A),
1998Jul,2.5,Normal value (A),
1998Jun,2.4,Normal value (A),
1998May,2.3,Normal value (A),
1998Apr,2.2,Normal value (A),
1998Mar,2.1,Normal value (A),
1998Feb,2.1,Normal value (A),
1998Jan,2.1,Normal value (A),
1997Dec,2.2,Normal value (A),
1997Nov,2.3,Normal value (A),
1997Oct,2.2,Normal value (A),
1997Sep,2.3,Normal value (A),
1997Aug,2.5,Normal value (A),
1997Jul,2.4,Normal value (A),
1997Jun,2.2,Normal value (A),
1997May,2.3,Normal value (A),
1997Apr,2.4,Normal value (A),
1997Mar,2.5,Normal value (A),
1997Feb,2.7,Normal value (A),
1997Jan,3.1,Normal value (A),
