DATE,THREEFYTP10
2018-06-04,0.0831
2018-06-05,0.0752
2018-06-06,0.1001
2018-06-07,0.0872
2018-06-08,0.0854
2018-06-11,0.0955
2018-06-12,0.1053
2018-06-13,0.1207
2018-06-14,0.1068
2018-06-15,0.0991
2018-06-18,0.0915
2018-06-19,0.0713
2018-06-20,0.0822
2018-06-21,0.0725
2018-06-22,0.0717
2018-06-25,0.0572
2018-06-26,0.0536
2018-06-27,0.0334
2018-06-28,0.0344
2018-06-29,0.0380
2018-07-02,0.0410
2018-07-03,0.0251
2018-07-04,.
2018-07-05,0.0245
2018-07-06,0.0152
2018-07-09,0.0260
2018-07-10,0.0332
2018-07-11,0.0253
2018-07-12,0.0245
2018-07-13,0.0134
2018-07-16,0.0142
2018-07-17,0.0181
2018-07-18,0.0233
2018-07-19,0.0119
2018-07-20,0.0303
2018-07-23,0.0654
2018-07-24,0.0683
2018-07-25,0.0663
2018-07-26,0.0891
2018-07-27,0.0844
2018-07-30,0.0848
2018-07-31,0.0753
2018-08-01,0.0910
2018-08-02,0.0871
2018-08-03,0.0707
2018-08-06,0.0562
2018-08-07,0.0667
2018-08-08,0.0671
2018-08-09,0.0500
2018-08-10,0.0199
2018-08-13,0.0109
2018-08-14,0.0140
2018-08-15,-0.0008
2018-08-16,0.0008
2018-08-17,0.0011
2018-08-20,-0.0225
2018-08-21,-0.0197
2018-08-22,-0.0299
2018-08-23,-0.0314
2018-08-24,-0.0306
2018-08-27,-0.0235
2018-08-28,-0.0086
2018-08-29,-0.0031
2018-08-30,-0.0151
2018-08-31,-0.0188
2018-09-03,.
2018-09-04,-0.0040
2018-09-05,-0.0027
2018-09-06,-0.0102
2018-09-07,0.0175
2018-09-10,0.0192
2018-09-11,0.0390
2018-09-12,0.0371
2018-09-13,0.0374
2018-09-14,0.0497
2018-09-17,0.0490
2018-09-18,0.0724
2018-09-19,0.0909
2018-09-20,0.0937
2018-09-21,0.0914
2018-09-24,0.0918
2018-09-25,0.1000
2018-09-26,0.0881
2018-09-27,0.0849
2018-09-28,0.0802
2018-10-01,0.0881
2018-10-02,0.0755
2018-10-03,0.1113
2018-10-04,0.1412
2018-10-05,0.1671
2018-10-08,.
2018-10-09,0.1602
2018-10-10,0.1589
2018-10-11,0.1297
2018-10-12,0.1219
2018-10-15,0.1205
2018-10-16,0.1183
2018-10-17,0.1294
2018-10-18,0.1241
2018-10-19,0.1364
2018-10-22,0.1329
2018-10-23,0.1190
2018-10-24,0.0813
2018-10-25,0.0896
2018-10-26,0.0634
2018-10-29,0.0544
2018-10-30,0.0682
2018-10-31,0.0891
2018-11-01,0.0889
2018-11-02,0.1242
2018-11-05,0.1226
2018-11-06,0.1298
2018-11-07,0.1351
2018-11-08,0.1460
2018-11-09,0.1275
2018-11-12,.
2018-11-13,0.0928
2018-11-14,0.0718
2018-11-15,0.0608
2018-11-16,0.0438
2018-11-19,0.0278
2018-11-20,0.0249
2018-11-21,0.0266
2018-11-22,.
2018-11-23,0.0199
2018-11-26,0.0248
2018-11-27,0.0218
2018-11-28,0.0128
2018-11-29,0.0072
2018-11-30,-0.0038
2018-12-03,-0.0178
2018-12-04,-0.0599
2018-12-05,.
2018-12-06,-0.0900
2018-12-07,-0.1130
2018-12-10,-0.1221
2018-12-11,-0.1053
2018-12-12,-0.0956
2018-12-13,-0.0985
2018-12-14,-0.1063
2018-12-17,-0.1234
2018-12-18,-0.1396
2018-12-19,-0.1643
2018-12-20,-0.1586
2018-12-21,-0.1593
2018-12-24,-0.1858
2018-12-25,.
2018-12-26,-0.1590
2018-12-27,-0.1709
2018-12-28,-0.1916
2018-12-31,-0.2191
2019-01-01,.
2019-01-02,-0.2391
2019-01-03,-0.2918
2019-01-04,-0.2549
2019-01-07,-0.2344
2019-01-08,-0.2165
2019-01-09,-0.2100
2019-01-10,-0.2058
